Date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite_file1,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index_file1,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI,population,unemployment_rate,productivity_index_file2,change_qoq,growth_rate_qoq,total_wage,BSI,Year,GFCF_ICT_Real,BSI_Composite_file2,cpi_growth,wage_growth,real_wage_growth,unemployment_rate_MA3,BSI_Composite_MA3,unemployment_rate_change3,BSI_Composite_change3,unemployment_rate_MA6,BSI_Composite_MA12,real_wage_growth_change12,unemployment_rate_std3,BSI_Composite_std6,growth_rate_qoq_lag1
2012-08-01,420903.56666666665,33701.200000000004,12144.933333333332,99.8,82.33333333333333,5.36,83.1,93.56666666666666,1126.76,88.22222222222223,416610.3361111111,9.241709142711338,-7.1000000000000085,1165.400000000005,5.74,58.39999999999999,36787261.66666666,3.0,93.56666666666666,0.8999999999999999,1.0,2646977.0,82.33333333333333,2012,33198.4,86.66666666666667,0.5,-3.6198050459675946,-4.119805045967595,3.1,90.7777777777778,-0.1,-8.666666666666657,3.266666666666667,91.16666666666669,-3.185849992463086,0.1000000000000512,3.1464265445102337,-1.6
2012-09-01,421945.5333333333,34086.5,12126.366666666669,97.8,82.33333333333333,5.3,87.6,95.43333333333334,1126.76,86.66666666666667,417490.5166666666,8.489051906568456,-3.0,1180.0999999999983,5.67,58.39999999999999,36804419.5,2.9,95.43333333333334,3.3,3.6,3022210.0,82.33333333333333,2012,33198.4,88.66666666666667,0.7,14.175907081927797,13.475907081927796,3.0,88.8888888888889,-0.3000000000000002,-5.666666666666657,3.1333333333333333,90.83333333333331,10.276568903443684,0.1000000000000532,3.4253953543105102,1.0
2012-10-01,422987.5,34471.8,12107.8,99.1,82.33333333333333,5.08,90.85,97.3,1126.76,85.27777777777779,418381.2333333334,7.306212590934394,-0.3000000000000113,1194.800000000003,5.53,58.39999999999999,36821577.333333336,2.8,97.3,5.7,6.2,2648717.0,82.33333333333333,2012,33198.4,90.33333333333331,-0.2,-12.35827424302084,-12.15827424302084,2.9,88.55555555555556,-0.3000000000000002,-1.0,3.016666666666667,90.52777777777776,-6.098011795402125,0.1000000000000552,3.3043181624228124,3.6
2012-11-01,424105.8,34567.86666666667,12132.9,99.3,78.66666666666667,5.05,93.4,96.36666666666666,1126.76,83.27777777777779,419255.64722222224,5.418432276315592,-0.5,1277.9000000000017,5.36,58.39999999999999,36838735.16666666,2.8,96.36666666666666,2.8666666666666667,3.166666666666667,2522360.0,78.66666666666667,2012,33198.4,87.33333333333333,-0.4,-4.770498320507633,-4.370498320507632,2.833333333333333,88.77777777777777,-0.2000000000000001,0.6666666666666572,2.966666666666667,90.13888888888889,1.1043656072351684,0.0577350269190604,2.841491522787459,6.2
2012-12-01,425224.1,34663.933333333334,12158.0,98.2,76.66666666666667,5.01,79.2,95.43333333333334,1126.76,81.1111111111111,420113.7583333333,0.0,0.4000000000000057,1361.0,5.3,58.39999999999999,36855893.0,2.9,95.43333333333334,0.0333333333333332,0.1333333333333337,3136057.0,76.66666666666667,2012,33198.4,82.33333333333333,0.2,24.330270064542734,24.13027006454274,2.833333333333333,86.66666666666667,0.0,-6.333333333333343,2.9166666666666665,89.5,-0.194607843641581,0.0577350269190604,3.194903348679987,3.166666666666667
2013-01-01,426342.4,34760.0,12183.1,101.8,69.66666666666667,5.04,95.3,94.5,1095.04,78.66666666666667,420955.56666666665,9.15677526933031,2.700000000000003,1444.0999999999983,5.08,58.39999999999999,36869068.333333336,3.4,94.5,-2.8,-2.9,2878333.0,69.66666666666667,2013,31697.7,81.0,0.6,-8.21809042373911,-8.81809042373911,3.033333333333333,83.55555555555556,0.6000000000000001,-9.333333333333329,2.966666666666667,89.25,-10.092738066724614,0.3214550253664485,3.647931935687237,0.1333333333333337
2013-02-01,427948.3,35101.5,12037.1,101.1,89.0,5.03,90.25,94.83333333333331,1095.04,79.77777777777777,421882.3861111112,12.346993254389057,1.7999999999999972,1400.2999999999956,5.05,55.86666666666666,36882243.66666666,3.9,94.83333333333331,-1.5333333333333332,-1.6,3024921.0,89.0,2013,31697.7,75.0,0.3,5.092808927945436,4.792808927945436,3.4,79.44444444444444,1.1,-12.333333333333329,3.1166666666666667,88.30555555555556,19.181188983423947,0.5000000000000097,5.756799522368349,-2.9
2013-03-01,429554.2,35443.0,11891.1,104.2,89.0,4.86,89.3,95.16666666666669,1095.04,80.88888888888889,422894.21666666673,14.345909774999066,6.0,1356.5,5.01,53.33333333333333,36895419.0,3.5,95.16666666666669,-0.2666666666666666,-0.2999999999999998,2741080.0,89.0,2013,31697.7,89.66666666666667,-0.1,-9.38341860828762,-9.28341860828762,3.6,81.8888888888889,0.6000000000000001,7.333333333333343,3.2166666666666663,87.97222222222221,-9.358830249088957,0.2645751311064764,5.927025360974028,-1.6
2013-04-01,431160.1,35784.5,11745.1,101.6,91.33333333333331,4.82,93.3,95.5,1095.04,82.38888888888889,423991.05833333335,15.617848375447684,-0.2000000000000028,1312.699999999997,5.04,50.8,36908594.333333336,3.2,95.5,1.0,1.0,2726595.0,91.33333333333331,2013,31697.7,92.33333333333331,-0.1,-0.5284413442876557,-0.4284413442876557,3.533333333333333,85.66666666666667,-0.1999999999999997,11.333333333333329,3.283333333333333,87.8611111111111,0.6819829653570751,0.3511884584284379,6.375009077698664,-0.2999999999999998
2013-05-01,432601.6333333333,35464.433333333334,12054.366666666669,104.2,92.33333333333331,4.73,93.3,95.86666666666666,1095.04,84.66666666666666,425156.2611111112,16.333536795259903,3.1000000000000085,896.5666666666657,5.03,48.26666666666666,36921769.66666666,3.0,95.86666666666666,1.0666666666666669,1.0666666666666669,2638623.0,92.33333333333331,2013,31697.7,92.33333333333331,0.0,-3.226441770780042,-3.226441770780042,3.233333333333333,91.44444444444444,-0.8999999999999999,17.33333333333333,3.316666666666667,87.6111111111111,0.6852186605664001,0.2516611478423792,7.088854057733969,1.0
