"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원)
"특성별(1)",특성별(2),소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업
"세부업종별",자동차트레일러업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,74.3,25.7,1203059,4472.3,6019.5,259,75.4,24.6,1062810,4103.5,5440.5
"세부업종별",기타제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427,66.2,33.8,2697989,6318.5,9538.1,416,65.8,34.2,2303936,5538.3,8414.8
"세부업종별",도소매업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,932,16.0,84.0,380152,407.9,2551.4,936,16.6,83.4,225034,240.4,1452.5
"세부업종별",출판통신정보서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,419,39.3,60.7,552386,1318.3,3354.6,434,41.6,58.4,910770,2098.5,5040.8
"세부업종별",부동산임대업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,465,5.9,94.1,5750,12.4,208.1,498,4.1,95.9,4446,8.9,219.3
"세부업종별",건설업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,18.0,82.0,88491,224.6,1248.1,400,19.6,80.4,103944,259.9,1322.5
"세부업종별",운수업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,1.5,98.5,1734,6.7,436.0,262,1.8,98.2,1212,4.6,252.9
"세부업종별",기타 비제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1021,14.4,85.6,435812,426.8,2973.8,1066,12.5,87.5,414970,389.3,3111.9
"매출규모별",1백억원미만,425,15.3,84.7,32067,81.6,531.9,625,15.2,84.8,70101,112.2,737.6,429,13.1,86.9,30455,71.0,540.5,938,12.6,87.4,120491,128.5,1018.4,1211,13.8,86.2,147297,121.6,881.3,1285,12.7,87.3,89172,69.4,548.4,1627,13.1,86.9,437360,268.8,2051.9,-,-,-,-,-,-,-,-,-,-,-,-
"매출규모별",1백억원～5백억원미만,834,23.6,76.4,376830,427.2,1807.9,934,29.4,70.6,143573,153.7,523.5,1493,22.6,77.4,324830,217.6,963.6,1104,28.6,71.4,762052,690.3,2416.6,894,29.7,70.3,150032,167.8,565.5,1071,25.3,74.7,152608,142.5,564.0,1189,27.8,72.2,184445,155.1,558.2,-,-,-,-,-,-,-,-,-,-,-,-
"매출규모별",5백억원미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2636,17.2,82.8,638667,242.3,1409.6,2650,18.2,81.8,468529,176.8,969.8
"매출규모별",5백억원～1천억원미만,384,43.9,56.1,220547,635.6,1448.8,474,46.3,53.7,282332,595.6,1285.2,509,44.1,55.9,359079,705.5,1600.9,544,38.7,61.3,435861,801.2,2069.0,611,43.2,56.8,398479,652.2,1508.1,664,36.6,63.4,273529,411.9,1125.9,713,40.4,59.6,340760,477.9,1182.8,685,33.8,66.2,359419,524.6,1551.0,661,31.1,68.9,365958,553.6,1780.5
"매출규모별",1천억원～2천억원미만,560,62.7,37.3,1017662,1770.4,2829.6,636,62.5,37.5,1409410,2237.0,3601.4,682,53.7,46.3,1005014,1482.0,2771.4,873,56.6,43.4,1584231,1814.7,3204.0,893,55.2,44.8,1125638,1260.5,2285.2,933,51.1,48.9,1237786,1326.7,2597.5,1005,54.3,45.7,1553556,1545.8,2846.2,-,-,-,-,-,-,-,-,-,-,-,-
"매출규모별",2천억원～3천억원미만,333,59.8,40.2,783168,2373.2,3965.7,367,60.8,39.2,909221,2477.4,4075.2,358,53.9,46.1,736397,2075.9,3885.5,402,56.0,44.0,832726,2071.5,3695.9,396,60.9,39.1,937408,2367.2,3889.2,434,57.4,42.6,850908,1960.6,3416.2,409,51.3,48.7,1020289,2494.6,4866.3,-,-,-,-,-,-,-,-,-,-,-,-
"매출규모별",1천억원～3천억원미만,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1468,54.4,45.6,2864194,1951.0,3585.0,1456,48.3,51.7,2629458,1805.9,3738.8
"매출규모별",3천억원～5천억원미만,235,61.6,38.4,740790,3011.3,4891.4,253,66.1,33.9,839132,3316.7,5018.5,282,57.3,42.7,819348,2932.0,5149.6,300,55.5,44.5,958858,3196.2,5761.9,312,60.7,39.3,910913,2919.6,4809.3,305,55.6,44.4,736426,2414.5,4345.0,296,58.8,41.2,991541,3349.8,5695.8,348,58.7,41.3,1052156,3026.6,5152.7,386,51.6,48.4,1285720,3330.9,6454.5
"매출규모별",5천억원이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,343,68.3,31.7,4495733,13088.5,19164.6,423,58.7,41.3,4853106,11473.1,19530.8
