"근로형태별",2004.08,2004.08,2004.08,2004.08,2004.08,2004.08,2004.08,2004.08,2004.08,2004.08,2005.08,2005.08,2005.08,2005.08,2005.08,2005.08,2005.08,2005.08,2005.08,2005.08,2006.08,2006.08,2006.08,2006.08,2006.08,2006.08,2006.08,2006.08,2006.08,2006.08,2007.03,2007.03,2007.03,2007.03,2007.03,2007.03,2007.03,2007.03,2007.03,2007.03,2007.08,2007.08,2007.08,2007.08,2007.08,2007.08,2007.08,2007.08,2007.08,2007.08,2008.03,2008.03,2008.03,2008.03,2008.03,2008.03,2008.03,2008.03,2008.03,2008.03,2008.08,2008.08,2008.08,2008.08,2008.08,2008.08,2008.08,2008.08,2008.08,2008.08,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.03,2009.08,2009.08,2009.08,2009.08,2009.08,2009.08,2009.08,2009.08,2009.08,2009.08,2010.03,2010.03,2010.03,2010.03,2010.03,2010.03,2010.03,2010.03,2010.03,2010.03,2010.08,2010.08,2010.08,2010.08,2010.08,2010.08,2010.08,2010.08,2010.08,2010.08,2011.03,2011.03,2011.03,2011.03,2011.03,2011.03,2011.03,2011.03,2011.03,2011.03,2011.08,2011.08,2011.08,2011.08,2011.08,2011.08,2011.08,2011.08,2011.08,2011.08,2012.03,2012.03,2012.03,2012.03,2012.03,2012.03,2012.03,2012.03,2012.03,2012.03,2012.08,2012.08,2012.08,2012.08,2012.08,2012.08,2012.08,2012.08,2012.08,2012.08,2013.03,2013.03,2013.03,2013.03,2013.03,2013.03,2013.03,2013.03,2013.03,2013.03,2013.08,2013.08,2013.08,2013.08,2013.08,2013.08,2013.08,2013.08,2013.08,2013.08,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.03,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2014.08,2015.03,2015.03,2015.03,2015.03,2015.03,2015.03,2015.03,2015.03,2015.03,2015.03,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2015.08,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.03,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2016.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2017.08,2018.08,2018.08,2018.08,2018.08,2018.08,2018.08,2018.08,2018.08,2018.08,2018.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2019.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2020.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2021.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2022.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08
"근로형태별",평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%),평균근속기간(개월),평균취업시간,월평균임금(만원),국민연금가입률(%),건강보험가입률(%),고용보험가입률(%),퇴직급여가입률(%),상여금수혜율(%),시간외수당수혜율(%),유급휴가수혜율(%)
"임금근로자",53,46.8,154.1,59.6,61.4,52.2,54.1,51.7,43.4,45.7,54,44.3,159.1,61.5,62.0,53.2,54.1,52.1,43.6,45.0,54,43.7,165.6,62.8,63.4,54.8,54.7,53.5,42.5,43.8,54,46.7,172.4,62.8,64.0,55.8,56.1,55.7,43.4,48.1,55,42.2,174.6,63.5,64.6,55.5,57.7,56.1,43.4,49.9,56,47.0,181.1,63.6,64.9,55.7,60.1,55.9,42.7,51.0,57,41.8,184.7,64.4,65.7,56.9,61.4,56.7,42.6,52.9,59,45.6,185.7,65.0,66.7,58.0,62.3,57.8,43.2,54.1,59,43.1,185.5,64.8,67.1,59.0,61.6,61.1,43.4,57.1,59,45.0,194.8,65.7,67.7,63.9,63.4,65.1,44.8,58.7,60,43.8,195.0,65.1,67.1,63.4,63.1,64.7,44.6,58.7,62,45.2,202.6,65.8,68.7,65.3,65.2,65.4,44.5,57.2,61,40.5,203.3,65.2,68.4,64.7,64.7,65.0,43.8,56.0,63,44.6,211.6,66.7,69.8,66.6,66.5,67.2,44.8,56.9,64,39.2,210.9,66.8,70.1,66.4,66.8,66.8,45.3,58.2,66,43.5,217.7,68.1,71.6,68.0,68.5,69.7,47.9,59.5,67,38.3,218.9,67.7,71.4,67.8,68.3,69.6,47.6,60.1,68,43.6,224.2,68.5,71.9,68.7,69.0,70.5,47.6,60.4,68,38.1,224.0,68.1,71.5,68.9,68.4,69.5,47.8,60.3,69,43.6,232.2,68.0,72.1,69.4,70.1,70.5,47.4,60.7,68,39.1,230.4,67.5,71.6,68.7,69.9,70.1,47.2,60.3,70,43.0,241.7,68.6,73.5,70.6,71.6,71.4,47.9,61.5,70,38.1,237.2,67.7,72.6,69.7,70.9,70.0,47.3,60.2,71,38.1,243.0,69.1,74.2,71.2,72.6,70.7,47.8,61.2,73,36.6,255.8,69.8,75.5,71.6,73.9,70.4,48.1,62.8,71,35.9,264.3,69.5,75.7,70.9,74.0,68.8,48.2,62.9,72,37.1,268.1,69.8,76.7,72.6,73.2,68.8,50.0,64.6,70,35.4,273.4,69.4,77.0,75.2,74.0,67.1,50.6,64.7,72,34.7,288.0,70.0,78.5,77.0,74.9,69.9,53.0,66.3,74,33.9,300.7,69.6,78.9,77.0,76.3,70.1,54.0,67.7,76,32.4,312.8,68.8,78.6,77.0,76.8,70.3,54.6,68.5
"정규직",69,49.0,176.9,72.5,73.8,61.5,67.4,65.8,55.8,58.2,71,45.9,184.0,75.8,75.9,63.8,68.6,67.3,56.5,57.9,70,45.4,190.5,76.2,76.1,64.7,67.9,67.5,53.9,55.0,70,49.2,198.2,76.1,76.7,65.5,68.9,69.5,54.3,59.9,71,44.0,200.7,76.4,76.8,64.4,70.3,69.9,54.3,61.6,72,49.2,210.1,77.7,78.2,65.7,74.3,71.2,54.9,64.6,74,43.3,212.6,77.3,78.0,65.9,74.5,71.2,53.6,65.4,77,48.1,216.9,78.7,79.6,67.4,76.3,73.5,55.1,67.4,79,45.4,220.2,79.0,79.8,67.6,77.0,77.8,55.6,70.6,77,47.9,228.9,78.7,79.6,75.5,76.6,79.4,55.5,70.8,77,46.5,229.4,78.5,79.5,75.7,76.7,79.3,55.5,71.3,79,48.0,236.7,79.2,80.7,77.2,78.0,79.7,54.7,69.5,79,42.9,238.8,79.2,80.9,77.5,78.4,80.4,55.1,69.2,81,47.4,245.5,79.7,81.4,78.4,79.4,81.4,55.3,69.1,82,41.4,246.2,80.4,82.3,79.0,80.3,81.8,56.3,71.0,84,46.0,253.7,81.4,83.3,80.6,81.7,83.8,58.5,71.6,85,40.2,255.1,81.3,83.6,80.7,81.9,83.7,58.5,73.1,85,46.4,260.8,82.0,84.0,81.6,82.3,84.6,58.5,73.4,86,40.1,261.1,82.2,84.2,82.0,82.1,83.6,58.9,73.8,87,46.5,272.0,82.1,84.7,82.5,83.5,84.5,58.3,73.9,88,41.3,270.2,82.1,84.8,82.4,84.0,85.0,58.4,73.9,89,46.0,284.1,83.3,86.3,84.2,85.3,86.2,58.7,74.9,89,40.5,279.9,83.0,86.2,84.2,85.5,85.5,58.5,74.3,91,40.7,285.1,85.0,88.4,85.9,87.8,86.2,59.3,75.7,93,39.3,300.9,86.2,90.1,87.0,89.9,86.4,59.7,77.9,94,38.8,316.5,87.5,91.5,87.2,91.7,86.4,60.9,80.1,97,40.7,323.4,88.0,92.6,89.2,91.9,86.6,62.8,82.1,96,38.7,333.6,88.8,93.6,90.9,93.5,86.7,64.9,83.3,97,37.8,348.0,89.1,94.5,92.2,94.0,88.8,67.5,84.5,98,36.9,362.3,88.0,94.3,91.9,94.5,88.1,67.8,85.6,103,35.4,379.6,88.1,95.0,92.3,95.6,89.0,68.7,86.9
"비정규직",24,43.1,115.3,37.7,40.2,36.2,31.4,27.6,22.3,24.6,24,41.5,115.8,36.8,37.9,34.7,28.9,25.7,21.2,22.8,25,40.5,120.2,38.5,40.2,36.6,30.5,27.9,21.7,23.3,26,42.4,127.7,39.7,42.1,39.2,33.9,31.7,24.4,27.6,26,39.0,127.9,40.3,42.8,39.5,35.0,31.4,24.0,29.0,26,42.9,127.5,37.6,40.2,37.3,33.8,27.7,20.1,26.0,24,38.8,129.9,39.1,41.6,39.3,35.8,28.1,20.8,28.2,23,40.8,123.5,37.6,40.9,39.2,34.1,26.5,19.6,27.7,21,38.8,120.5,38.3,43.4,42.8,32.7,29.8,20.5,31.8,23,39.1,125.5,39.4,43.4,42.7,36.7,35.9,23.0,34.0,24,38.3,126.0,38.1,42.1,41.0,36.0,35.5,22.5,33.5,26,39.6,135.8,39.7,45.2,44.2,40.2,37.3,24.4,33.0,27,36.0,135.0,38.3,44.1,42.4,38.4,35.4,22.1,30.5,29,39.1,143.5,40.7,46.6,45.1,40.6,38.6,23.7,32.4,28,34.9,139.8,39.2,45.5,43.5,39.6,36.5,23.3,32.2,29,38.2,141.7,40.1,46.9,44.0,40.7,40.1,25.4,34.0,30,34.2,143.4,39.4,46.3,43.7,40.0,40.3,25.0,33.1,31,37.7,146.5,39.9,46.3,44.1,40.8,40.5,24.5,32.7,30,33.9,145.9,38.5,44.8,43.9,39.5,39.8,24.4,32.0,29,37.5,147.3,38.1,45.2,44.1,41.6,40.7,24.0,32.6,28,34.3,147.3,37.0,43.9,42.6,40.6,39.0,23.8,31.9,29,36.8,151.5,37.6,46.3,44.6,42.4,40.0,24.9,33.1,29,33.2,149.8,36.4,44.9,42.9,41.0,38.2,24.4,31.4,30,32.7,156.9,36.6,45.3,44.1,41.5,39.1,24.2,31.7,31,31.2,164.4,36.6,45.9,43.6,41.5,37.8,24.6,32.1,29,30.8,172.9,37.9,48.0,44.9,42.9,38.2,25.9,33.0,29,30.7,171.1,37.8,49.0,46.1,40.4,37.6,27.5,34.1,29,30.2,176.9,38.4,50.3,52.6,42.7,35.7,27.6,35.1,30,29.6,188.1,38.3,51.7,54.0,43.0,38.5,28.9,35.9,32,28.7,195.7,38.4,52.6,54.2,45.3,39.4,30.5,37.2,34,27.6,204.8,37.5,52.2,54.7,46.4,40.1,31.8,38.7
