"산업별(1)",2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"산업별(1)",전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업
"펄프, 종이 및 종이제품 제조업",143.1,315.2,110.6,126.9,289.9,97.8,139.1,357.5,111.0,147.2,354.7,119.6,143.1,286.3,121.0,141.6,299.7,119.8,151.4,319.6,126.8,158.1,344.5,134.4,167.4,413.1,135.0,161.1,354.9,139.3,166.0,292.2,153.1,173.0,346.9,156.9,171.9,394.7,149.7,156.5,455.6,135.8,153.7,366.2,135.1,149.8,400.0,130.0,147.6,430.0,123.6,146.5,437.1,129.9,135.9,373.1,121.9,136.0,311.2,125.3,154.4,396.3,141.3,143.8,406.3,129.9,144.5,446.2,126.4,124.8,344.0,112.4
"인쇄 및 기록매체 복제업",87.9,91.5,87.8,77.4,90.7,77.1,68.3,72.1,68.2,65.0,58.9,65.2,61.5,92.1,60.6,61.8,60.6,61.8,63.2,71.1,63.1,59.6,-12.7,60.3,72.0,88.6,71.5,70.4,-,70.4,72.2,-,72.2,70.7,-,70.7,74.6,-,74.6,72.7,-,72.7,73.5,-,73.5,76.5,-,76.5,77.5,7.4,78.3,79.7,-,79.7,77.5,-,77.5,82.5,-,82.5,90.5,-,90.5,91.0,-,91.0,93.6,-,93.6,97.0,-,97.0
"코크스, 연탄 및 석유정제품 제조업",1627.7,1956.0,408.8,1493.6,1815.4,491.4,1515.0,1926.0,432.5,1457.8,1844.3,382.0,1585.6,2074.7,319.0,2224.4,2938.5,335.2,2469.5,3224.1,389.5,2416.8,3295.5,233.5,3211.1,4457.8,309.7,2634.5,3520.9,490.6,1947.2,2694.9,438.9,1981.8,2693.7,415.4,2068.9,2814.6,342.8,1893.2,2656.7,323.4,1967.7,2763.9,421.8,1681.1,2291.8,498.0,1636.9,2259.5,531.1,1683.3,2234.2,720.5,2019.9,2682.8,739.1,1909.4,2534.9,735.4,1191.5,1507.8,568.2,969.9,1199.1,526.3,1896.3,2735.4,284.2,1434.3,1894.3,396.4
"화학물질 및 화학제품 제조업; 의약품 제외",286.3,373.4,239.9,294.9,337.5,275.5,335.8,447.4,288.3,325.1,414.9,290.7,332.3,522.8,269.3,329.7,585.0,267.3,315.0,568.1,258.5,333.0,538.1,285.0,347.3,555.8,298.9,355.6,570.6,304.6,361.5,579.3,301.8,434.2,875.8,274.1,428.2,906.1,266.2,412.5,905.5,257.9,377.3,768.9,253.8,349.7,641.4,257.9,342.8,626.3,251.2,359.9,716.1,261.5,351.3,681.9,249.5,352.5,683.0,254.1,320.3,543.6,259.9,296.8,493.3,238.9,305.2,445.7,259.6,339.9,683.4,244.1
"의료용 물질 및 의약품 제조업",138.8,146.8,136.2,153.4,174.6,148.3,177.0,209.4,169.2,194.7,249.0,182.5,195.2,172.5,201.0,222.6,214.9,223.9,244.7,352.8,226.2,270.4,510.3,234.8,306.4,549.8,268.5,268.3,365.8,248.4,232.4,483.9,202.6,272.9,454.5,244.2,278.8,573.9,233.7,283.1,483.6,254.6,280.8,436.7,255.5,286.2,382.5,265.5,281.9,331.7,269.5,276.3,379.0,252.3,288.7,341.7,268.2,297.9,319.3,290.4,313.9,404.1,280.2,367.5,482.5,315.9,401.8,494.7,354.0,437.8,631.7,342.3
"고무 및 플라스틱제품 제조업",101.1,163.4,88.2,98.5,178.8,82.2,103.8,203.1,85.4,102.2,194.7,86.1,79.5,147.4,68.2,103.9,215.0,85.7,110.0,216.6,92.0,116.6,233.5,96.2,126.8,244.1,105.2,109.2,168.5,98.7,110.6,218.0,93.9,119.6,227.6,100.7,117.5,213.3,99.6,122.9,222.8,104.7,122.6,198.6,109.2,119.9,180.2,109.5,118.8,175.6,108.8,126.2,200.2,114.0,126.7,201.2,113.9,126.4,187.4,116.5,122.1,156.0,116.5,138.3,173.4,132.3,140.2,235.5,124.1,125.1,227.7,110.1
"비금속 광물제품 제조업",123.6,260.8,95.6,129.9,270.5,97.4,127.6,252.2,101.6,133.8,247.3,112.7,138.8,288.8,111.9,145.5,264.7,122.1,152.7,296.5,127.8,155.8,309.9,129.8,168.7,311.8,140.0,170.8,401.0,126.5,187.1,491.4,128.4,196.8,531.6,138.1,180.6,409.6,140.6,183.2,383.9,151.5,173.0,337.5,148.5,172.9,317.3,153.5,179.1,326.8,159.4,193.4,328.2,174.4,180.1,313.7,160.8,175.4,311.9,158.7,170.3,285.3,155.7,196.0,310.7,181.4,191.8,299.0,178.6,168.6,204.1,164.3
"1차 금속 제조업",217.5,329.3,129.5,231.9,362.9,136.9,243.0,396.5,138.0,250.5,419.9,143.2,264.6,456.6,144.6,252.0,437.0,154.2,244.4,435.6,149.5,222.2,416.9,126.6,225.3,432.8,125.5,202.0,367.2,127.4,214.6,458.2,112.9,204.8,375.2,127.4,184.4,350.7,111.5,172.0,308.5,110.4,172.7,283.2,121.7,175.3,266.2,134.5,180.0,289.4,132.0,199.1,331.9,140.5,193.7,335.7,128.6,209.8,370.6,140.4,224.6,377.2,155.3,203.0,374.0,119.9,162.5,264.1,108.7,167.2,288.5,101.3
"금속가공제품 제조업; 기계 및 가구 제외",112.8,155.8,107.6,106.3,147.7,100.4,108.3,155.5,102.9,111.6,155.9,107.3,123.2,206.0,115.0,122.1,176.0,116.4,121.2,176.8,116.2,126.3,163.2,123.0,136.4,293.5,121.9,114.9,261.1,102.6,106.6,270.2,94.9,120.8,358.8,99.1,127.1,407.1,100.4,117.8,383.9,95.3,115.7,301.5,98.2,118.7,236.9,105.8,116.3,245.2,104.1,118.2,248.7,106.3,118.7,246.5,106.0,119.2,233.4,107.8,114.9,209.7,105.8,99.3,207.2,90.4,82.3,159.0,75.5,82.1,187.7,72.7
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",80.6,118.1,30.3,82.0,123.4,33.3,95.6,154.2,36.3,104.6,165.6,40.9,126.9,194.3,45.9,129.0,186.3,52.8,144.5,196.9,62.1,169.4,243.3,68.1,198.3,284.8,78.1,227.8,323.7,94.5,248.3,352.9,94.4,259.9,366.2,98.3,255.7,365.7,86.2,253.4,369.0,86.0,260.6,382.7,88.9,265.8,380.5,91.4,287.0,413.0,91.9,298.1,428.8,83.6,329.8,472.3,83.9,388.6,548.8,100.2,403.5,564.2,116.7,491.3,688.8,129.1,525.0,724.7,144.2,444.5,586.0,170.8
"의료, 정밀, 광학기기 및 시계 제조업",32.4,36.1,32.1,36.1,43.9,35.4,36.1,63.4,34.5,41.1,63.9,39.2,46.0,73.2,43.3,52.9,90.6,48.5,59.3,94.5,54.7,74.1,140.3,64.1,78.1,110.9,74.0,78.2,150.4,71.8,83.5,167.2,77.4,87.2,130.6,82.7,87.9,84.3,88.2,92.4,118.0,89.9,95.3,119.5,93.2,102.5,147.5,98.5,109.0,175.4,102.1,102.1,178.8,92.7,107.1,169.3,99.0,121.3,151.3,117.3,126.3,140.9,123.7,137.9,161.6,133.8,161.3,205.6,153.2,198.4,207.4,196.9
"전기장비 제조업",92.7,154.4,73.9,95.3,178.0,73.4,98.1,181.1,78.2,99.3,182.3,80.7,116.0,240.5,88.7,121.6,244.1,96.8,126.3,245.1,101.5,125.7,203.4,106.5,138.1,260.1,103.1,135.3,241.4,104.8,160.6,319.5,118.8,146.8,264.2,116.2,146.2,271.6,111.4,137.5,251.4,107.1,136.5,219.3,112.4,134.5,211.8,107.9,135.3,229.4,105.5,149.1,269.8,110.6,152.4,264.3,110.1,159.4,273.0,116.5,166.6,297.7,117.1,183.6,301.9,134.7,222.1,413.6,131.7,204.2,410.4,119.6
"기타 기계 및 장비 제조업",82.2,153.1,67.9,82.2,169.3,67.2,91.8,188.1,76.3,99.7,213.7,81.6,113.3,261.0,91.9,110.5,249.0,92.0,122.0,298.4,100.4,130.0,352.1,102.8,142.7,315.3,117.1,124.3,261.3,105.4,146.6,358.7,118.5,147.5,308.1,123.7,141.9,268.8,121.8,132.8,268.8,113.8,135.3,278.2,116.1,132.4,262.9,117.9,127.1,268.6,111.6,142.1,269.3,125.1,146.2,269.3,128.7,137.0,248.7,120.5,136.0,218.3,124.6,167.5,317.9,146.9,174.5,304.1,155.1,167.4,298.4,145.8
"자동차 및 트레일러 제조업",176.6,249.1,95.7,199.8,310.7,92.6,203.7,301.0,106.7,210.2,317.3,108.6,205.4,301.1,115.3,211.6,305.2,125.5,240.3,352.9,141.9,235.2,348.9,139.2,256.2,370.3,156.7,181.3,269.7,108.3,206.4,320.5,123.8,219.7,343.7,133.9,213.8,323.6,137.4,200.6,317.7,123.4,202.5,320.8,127.5,187.9,296.9,118.5,167.7,252.3,113.5,173.6,254.5,119.6,164.6,236.9,114.7,175.5,251.6,124.1,167.8,240.1,120.4,216.6,313.8,150.8,224.9,342.5,141.1,237.9,374.9,140.5
"기타 운송장비 제조업",143.5,179.8,63.9,140.0,180.4,61.1,144.2,184.8,65.8,152.3,196.7,75.1,163.0,212.7,79.4,169.3,225.1,82.8,182.5,255.0,87.9,198.0,298.0,85.6,225.5,356.5,90.0,215.5,333.9,87.4,214.0,354.6,69.1,203.4,327.0,78.7,152.7,240.4,73.4,152.5,250.4,72.0,149.8,244.1,76.5,125.3,183.6,73.2,154.2,247.2,79.5,134.9,208.6,66.5,126.5,183.4,68.3,149.9,235.7,79.5,126.7,184.2,75.6,134.4,184.2,87.8,108.5,133.0,84.4,111.7,146.8,78.9
"가구 제조업",97.1,159.0,88.3,97.0,259.6,83.2,95.2,225.8,83.5,93.0,143.5,89.3,116.8,361.5,95.2,110.3,149.0,109.3,109.7,342.2,103.7,118.6,439.9,114.3,157.1,677.7,149.7,121.1,161.6,120.4,134.7,450.6,125.9,133.7,618.3,127.1,137.5,62.0,138.8,125.5,-,125.5,134.8,-,134.8,141.9,-,141.9,144.4,-,144.4,159.3,-,159.3,132.7,-,132.7,116.8,-,116.8,130.0,478.3,124.0,142.2,210.3,141.4,117.7,-,117.7,101.6,-,101.6
"기타제품 제조업",55.5,61.8,54.5,53.8,62.6,52.4,54.1,73.6,51.4,58.0,76.8,56.7,57.8,85.5,57.0,58.8,47.7,59.0,63.5,182.5,61.7,72.1,180.6,70.3,69.6,232.5,67.1,65.6,174.4,63.8,77.4,213.6,75.4,85.5,126.5,84.4,90.1,199.8,88.4,85.5,183.7,83.9,90.0,188.9,88.4,87.7,126.8,86.7,89.0,135.9,88.3,96.0,84.6,96.4,94.8,184.9,9.3,91.9,113.6,91.6,92.5,83.2,92.8,103.9,98.6,104.2,110.0,121.5,109.4,89.6,156.6,87.5
"산업용 기계 및 장비 수리업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.9,59.0,111.3,100.9,81.0,103.0,102.7,96.4,103.5,103.0,49.3,107.0,108.4,99.1,110.0,118.0,127.0,116.0,120.8,112.1,122.1,121.4,119.7,122.1
