"계정항목별",1995.1/4,1995.2/4,1995.3/4,1995.4/4,1996.1/4,1996.2/4,1996.3/4,1996.4/4,1997.1/4,1997.2/4,1997.3/4,1997.4/4,1998.1/4,1998.2/4,1998.3/4,1998.4/4,1999.1/4,1999.2/4,1999.3/4,1999.4/4,2000.1/4,2000.2/4,2000.3/4,2000.4/4,2001.1/4,2001.2/4,2001.3/4,2001.4/4,2002.1/4,2002.2/4,2002.3/4,2002.4/4,2003.1/4,2003.2/4,2003.3/4,2003.4/4,2004.1/4,2004.2/4,2004.3/4,2004.4/4,2005.1/4,2005.2/4,2005.3/4,2005.4/4,2006.1/4,2006.2/4,2006.3/4,2006.4/4,2007.1/4,2007.2/4,2007.3/4,2007.4/4,2008.1/4,2008.2/4,2008.3/4,2008.4/4,2009.1/4,2009.2/4,2009.3/4,2009.4/4,2010.1/4,2010.2/4,2010.3/4,2010.4/4,2011.1/4,2011.2/4,2011.3/4,2011.4/4,2012.1/4,2012.2/4,2012.3/4,2012.4/4,2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4
"1차금속 제조업",4336.2,4411.4,4391.9,4460.4,4544.8,4566.9,4557.4,4523.4,4563.5,4689.2,4634.9,4557.2,4167.1,4065.1,4137.9,4344.6,4234.2,4487.5,4834.8,5038.7,4991.5,5069.5,5098.7,5033.0,5250.6,5326.9,5373.0,5331.5,5499.2,5797.0,5901.3,5932.6,5483.6,5611.2,5789.9,6065.6,6342.6,6342.3,6357.2,6273.4,6343.9,6272.3,6274.0,6424.2,5949.7,6040.0,6221.2,6236.4,6356.6,6433.5,6356.7,6319.2,6191.0,6134.7,6139.4,4966.7,4998.9,5515.2,6447.0,6427.4,6576.5,6794.9,6802.0,7131.4,7175.9,7033.7,7019.8,7091.7,6932.2,6810.3,6843.6,6774.5,6935.3,7060.6,7063.3,6999.6,7255.6,7430.8,7554.9,7551.3,7446.5,7556.9,7495.2,7415.9,7378.6,7526.7,7489.6,7518.8,7626.3,7667.9,7716.2,7523.0,7397.6,7335.5,7266.2,7564.7,7485.7,7396.1,7489.8,7584.2,7536.5,6620.8,7358.4,7587.7,7334.5,6983.1,6867.4,6396.2,5951.1,5793.5,5442.3,5523.6,5938.5,6002.9,5791.8,6117.1,6203.0,5880.6,5754.5,6197.8,5936.2,6078.7
"금속가공제품 제조업",3218.7,3258.5,3348.2,3504.2,3724.5,3838.5,3915.2,3975.2,4100.6,4182.5,4075.8,3964.1,3631.3,3500.2,3505.1,3693.7,3710.3,3848.3,4083.5,4340.7,4579.5,4650.6,4852.9,4743.6,4612.0,4748.3,4838.8,4820.7,4913.7,4994.9,5066.6,5313.5,5571.7,5650.6,5753.0,5840.2,6163.8,6325.2,6492.9,6624.1,6766.0,7068.7,7363.6,7356.2,7344.6,7430.6,7532.3,7534.3,7965.2,7987.4,8142.9,8307.8,7732.4,7562.0,7507.2,6733.9,6622.3,6657.6,6836.9,6725.7,7243.1,7707.8,7633.3,7560.2,7273.7,7876.6,8077.8,8042.2,8048.4,9077.6,8059.2,8621.6,8321.6,7693.9,8365.0,8887.1,8883.3,8703.4,9027.3,8895.5,9178.9,9551.3,9806.2,9836.1,9509.3,9810.0,9560.7,9519.0,10054.5,9246.2,9806.4,9414.6,9350.8,9280.8,9574.4,9832.5,9468.8,9641.9,9284.4,9321.2,9489.4,8725.5,8647.0,8582.8,8392.3,7692.4,7350.5,7253.1,6877.1,6728.9,6641.4,6593.6,6704.4,6828.2,6725.8,6616.9,6791.6,6759.5,6999.1,6607.7,6631.4,6514.6
"컴퓨터, 전자 및 광학기기 제조업",2194.3,2425.0,2574.2,2645.7,2548.6,2594.5,2628.3,2775.1,2508.9,2784.1,2838.2,2763.9,3214.0,3207.9,3538.7,3842.3,3849.5,4310.7,4604.0,4901.6,5389.9,5841.9,6297.7,6055.3,6440.3,6065.1,5906.0,6792.1,6772.0,7194.2,7354.9,7450.9,7554.0,7643.4,8443.0,8946.3,9565.2,9965.8,9914.0,10022.6,10285.3,10655.0,11169.9,11494.3,12100.8,12432.0,13006.1,12843.5,13559.4,14205.0,14861.8,15196.3,15363.2,15691.7,16271.0,15011.0,15600.6,15825.3,17088.7,17685.2,18640.6,19495.7,20231.8,20302.0,21217.4,21273.5,21564.9,21639.7,21363.6,21977.7,22730.8,23345.3,23138.0,23969.7,23665.8,24467.9,25171.0,25749.0,24192.1,25032.5,26007.4,25341.5,25595.5,26818.6,28024.1,28370.6,27868.6,29008.1,29264.1,29917.1,30464.7,31356.8,32610.3,33795.3,35350.8,33899.4,33714.4,35248.2,37076.7,36196.3,37638.9,35487.7,37265.2,39616.1,41035.4,42743.7,41829.1,43665.1,45512.6,46052.1,45295.0,43235.7,42929.8,45619.4,48954.0,50663.4,51483.8,51569.4,51772.9,53246.0,54088.3,56831.6
"전기장비 제조업",1512.2,1592.6,1604.4,1682.2,1750.9,1953.9,1920.3,1958.7,2039.7,2078.4,2129.8,2039.1,1945.9,1872.9,1866.0,1983.0,2195.8,2571.4,2693.1,2895.7,3233.5,3301.8,3530.5,3394.2,3322.1,3304.7,3429.4,3498.3,3508.4,3762.2,3820.3,3927.1,3965.9,3942.8,4022.1,4141.8,4171.0,4307.0,4285.9,4335.0,4382.4,4463.7,4708.9,4742.4,4777.9,4784.8,4959.7,5006.4,5240.6,5111.6,5164.7,5302.0,5342.6,5362.6,5438.3,5040.4,4961.6,5442.9,5873.7,5921.3,6395.2,6609.4,6580.0,6882.2,6752.9,6666.5,6493.2,6795.8,6765.6,6750.6,6900.2,7066.3,7034.7,7226.7,7361.9,7007.6,7261.7,7533.2,7434.3,7331.7,7301.1,7317.3,7135.0,6629.3,6644.5,6572.8,6739.4,6765.3,7320.1,7310.8,7690.1,7460.4,7742.8,7743.4,7845.2,8239.1,7852.0,8150.7,7909.0,8058.7,7777.7,7555.8,7970.5,8570.5,8819.7,8808.2,8557.5,8934.8,9456.8,9482.1,9167.8,8857.0,8842.2,8948.2,9348.9,8913.5,8686.4,8622.5,8858.9,8455.4,8297.6,8522.7
"기계 및 장비 제조업",3214.2,3505.3,3544.0,3635.6,3878.1,3833.9,4147.9,4213.0,4142.3,4347.8,4170.8,3758.2,2838.9,2525.5,2615.0,2706.9,2929.5,3423.0,3728.2,3982.7,4205.2,4382.5,4560.1,4443.1,4448.1,4315.7,4307.9,4124.5,4610.7,4909.8,5067.6,5166.2,5292.1,5318.8,5427.7,5654.6,5780.4,6110.5,6049.6,5994.9,6145.6,6296.2,6499.0,6664.3,6739.0,6979.3,7218.0,7242.6,7473.4,7637.5,7756.6,8054.4,8368.5,8421.1,8622.6,7749.4,7147.7,7317.2,7925.1,8335.0,8538.5,9297.9,9586.4,9859.5,10022.8,9820.9,9789.3,10016.5,10397.2,10305.2,10359.6,9978.4,10089.5,10614.2,10681.3,10683.3,10373.2,10670.1,10884.5,11070.5,10882.6,10826.7,10806.8,10658.1,9955.5,10140.4,10467.9,11153.8,12129.1,12887.7,12637.7,12328.5,12701.9,12525.2,12534.6,12265.2,12544.7,12251.2,12075.0,12631.6,12637.4,11782.6,12175.1,12699.9,13328.1,13952.7,13953.5,13975.0,14421.8,14444.4,14976.9,14882.2,13893.3,13364.4,13538.1,13902.1,13830.0,13825.1,14021.4,13779.2,13215.4,13576.3
"운송장비 제조업",5932.8,5765.8,6089.5,6241.0,7105.1,6805.9,7024.1,6967.4,6938.2,7564.3,7472.1,7649.9,5367.1,5476.3,5254.0,5890.8,6340.0,7355.7,7548.0,7757.2,8328.1,7885.7,9142.1,8517.7,8022.1,8690.1,9241.5,8400.9,8928.8,8980.7,9699.9,9700.7,9753.6,9641.3,9152.9,10362.3,10372.5,10472.4,10685.4,11120.2,11280.2,11605.5,11254.8,11921.7,13448.1,13113.8,12881.0,13544.7,14318.6,14526.2,14548.7,15419.7,16602.3,17037.8,16027.4,15122.2,12889.3,13107.2,14865.0,14924.7,14517.9,15546.4,16517.1,16635.8,17197.4,16993.3,17564.1,17376.8,17665.5,17164.1,16630.1,17031.4,17411.4,17208.8,17488.7,17219.5,17740.3,17944.4,17202.3,16510.7,16388.1,17144.1,17627.4,17287.4,17222.6,17901.5,16936.2,17089.2,16784.1,16340.2,16267.9,15105.1,15331.1,16055.8,15690.5,16859.1,15836.3,16392.2,15752.5,16453.5,14998.7,12910.3,14445.5,15424.1,15767.7,15586.0,14768.8,15254.0,16478.3,16097.9,18333.3,17232.2,19402.9,19923.6,20607.6,19729.6,19419.5,20801.8,21740.3,20950.9,20621.7,21412.0
"기타 제조업 및 산업용 장비 수리업",1484.6,1474.3,1456.4,1527.6,1544.1,1524.6,1532.9,1490.2,1546.3,1571.7,1506.9,1479.6,1293.5,1265.1,1287.6,1341.2,1370.3,1530.0,1520.9,1594.6,1703.2,1665.4,1717.3,1700.0,1538.0,1589.4,1591.0,1581.8,1594.1,1632.9,1641.4,1640.6,1635.7,1649.1,1655.0,1711.0,1588.0,1600.8,1577.4,1534.8,1577.4,1630.8,1696.9,1730.0,1793.9,1815.9,1822.2,1808.9,1880.8,1970.1,2067.7,2089.3,2126.9,2133.6,2154.5,2020.7,2031.0,1967.9,2167.1,2165.7,2148.5,2214.8,2201.9,2276.0,2323.3,2386.1,2369.3,2334.7,2480.8,2492.4,2611.2,2556.3,2446.0,2651.3,2756.5,2911.0,2911.4,2935.2,3073.7,3151.4,3159.8,3239.1,3333.4,3276.5,3137.1,3082.6,3080.7,3288.8,3433.0,3460.2,3455.0,3471.3,3540.2,3639.8,3576.8,3534.1,3353.0,3237.4,3141.3,3166.1,3289.1,3185.1,3077.2,3099.5,3291.0,3173.7,3108.2,3032.6,3070.3,3112.4,3040.7,2963.0,2737.2,2678.4,2771.6,2808.2,2901.7,2774.4,2819.3,2725.1,2810.4,2560.5
"전기, 가스 및 수도사업",3278.6,3318.7,3424.5,3465.9,3598.8,3727.2,3788.7,3855.7,3919.7,4035.9,4188.0,4268.4,4047.3,4122.5,4163.6,4242.9,4334.9,4514.8,4555.3,4961.2,4910.0,5006.9,5199.6,5314.4,5461.1,5349.3,5356.5,5509.8,5755.3,5733.9,5953.4,6086.8,6065.5,6131.2,6094.4,6251.9,6469.2,6543.7,6627.4,6611.4,6848.7,7066.9,7066.0,7213.3,7190.5,7243.1,7339.2,7361.0,7333.3,7452.2,7645.3,7909.1,7858.3,7834.0,8054.0,8098.2,8322.1,8445.8,8355.3,8512.0,8731.1,8809.9,8941.1,8689.0,8838.4,8868.2,9146.0,8802.1,8962.9,9202.6,9115.3,9330.9,9055.0,8883.2,8923.9,9286.4,9156.9,9259.2,9348.6,9662.4,9802.4,9927.6,10124.9,10096.5,10007.4,9814.2,9958.7,10015.7,10345.0,10462.7,10673.7,10570.5,10053.5,10280.4,10501.4,10703.1,10686.6,11428.5,10266.7,10747.1,11484.4,11451.4,11212.1,11457.4,11673.7,11575.6,11601.3,11552.5,11809.1,12138.7,11984.9,12087.6,11245.6,11657.8,11778.4,12085.1,11934.1,11944.3,12587.6,11843.3,12462.4,11784.2
"전기업",1633.4,1662.1,1706.4,1719.6,1808.5,1857.9,1911.8,1938.6,1984.1,2053.6,2171.6,2205.2,2126.8,2159.2,2140.8,2193.5,2171.3,2247.9,2325.2,2587.7,2544.7,2626.4,2718.7,2810.4,2862.6,2784.4,2746.2,2820.9,3082.0,3001.7,3056.4,3116.9,3162.3,3182.6,3153.8,3222.4,3303.9,3354.7,3406.7,3432.5,3481.3,3771.5,3700.4,3744.1,3702.9,3757.0,3823.6,3894.2,3811.6,3844.0,3955.2,4107.7,4017.3,4072.7,4217.2,4239.9,4559.8,4261.2,4207.1,4242.6,4570.1,4564.9,4644.1,4449.1,4476.9,4605.0,4748.7,4575.6,4446.2,4697.1,4520.7,4608.6,4373.7,4207.3,4363.9,4454.5,4576.9,4656.3,4713.4,5050.0,5138.3,5173.4,5339.8,5524.6,5252.0,5068.1,5175.9,5278.4,5420.7,5614.9,5727.5,5689.5,5076.0,5328.2,5607.2,5821.9,5835.2,6466.8,5316.2,5664.9,6515.9,6712.4,6394.4,6334.6,6617.1,6426.5,6513.1,6519.3,7020.8,7224.8,7309.1,6987.7,7795.0,7354.8,6799.7,7632.1,7547.9,7528.2,8122.9,8190.6,8128.9,7497.4
"가스, 증기 및 공기조절 공급업",408.1,433.3,479.3,477.4,487.4,532.0,524.4,538.1,555.0,599.8,578.9,592.0,513.5,520.8,597.6,591.5,656.5,699.1,716.1,767.7,749.1,737.7,812.4,823.3,956.6,901.7,952.5,994.8,940.2,971.5,1128.6,1164.9,1069.1,1119.6,1085.2,1110.8,1222.6,1273.4,1285.8,1198.8,1443.3,1215.7,1306.1,1448.7,1447.8,1403.5,1381.8,1303.6,1393.2,1471.8,1463.6,1503.9,1634.1,1485.9,1537.5,1468.5,1340.8,1481.0,1513.6,1622.3,1481.0,1508.9,1468.9,1530.5,1550.1,1520.5,1533.8,1382.9,1558.4,1521.5,1612.9,1610.7,1645.7,1671.7,1552.1,1611.9,1476.4,1483.6,1486.3,1456.1,1390.5,1436.3,1397.4,1273.4,1392.8,1345.3,1434.2,1436.0,1581.8,1518.6,1598.2,1661.7,1651.8,1596.7,1526.1,1505.9,1542.1,1590.9,1500.0,1538.6,1497.2,1409.8,1428.2,1594.2,1656.3,1700.6,1617.6,1550.4,1537.5,1567.7,1536.8,1604.4,1425.7,1453.1,1536.9,1624.1,1520.9,1584.8,1649.9,1422.5,1632.6,1580.3
"수도, 하수 및 폐기물 처리, 원료 재생업",1543.1,1484.8,1499.3,1562.6,1563.2,1625.5,1602.2,1646.3,1626.3,1603.3,1612.7,1663.7,1545.6,1595.4,1625.7,1647.5,1764.9,1847.1,1700.0,1730.6,1763.6,1753.2,1774.4,1739.2,1718.0,1774.4,1813.1,1855.2,1762.7,1862.9,1905.4,1950.9,1940.3,1946.7,1989.5,2072.6,2128.6,2083.2,2094.4,2108.9,2128.0,2127.8,2171.6,2165.3,2212.7,2228.9,2263.9,2238.1,2266.6,2299.5,2383.5,2448.5,2404.7,2422.9,2432.3,2520.1,2429.8,2765.2,2725.9,2788.6,2723.5,2795.3,2874.7,2789.6,2886.2,2794.5,2928.4,2935.4,3010.4,3067.4,3023.5,3171.0,3047.3,2984.3,3060.1,3280.3,3167.7,3179.3,3212.1,3204.8,3321.0,3369.4,3439.0,3284.0,3432.7,3558.8,3430.1,3321.9,3363.0,3263.8,3263.0,3089.6,3332.3,3336.7,3317.3,3298.8,3280.6,3347.2,3414.7,3509.4,3469.2,3348.2,3390.3,3510.9,3400.3,3448.5,3470.6,3482.8,3367.7,3467.7,3317.4,3551.0,3424.9,3459.3,3324.2,3467.8,3512.5,3465.6,3544.5,3099.7,3429.3,3420.5
"건설업",21780.5,22308.8,23292.9,23776.0,24128.3,23838.5,24417.6,24660.2,24291.2,24410.8,24374.1,24844.5,23262.2,21909.1,21167.0,20370.6,20668.5,20661.1,19768.2,19127.0,18239.0,19514.9,19770.2,18920.4,18844.5,19745.6,21520.5,20485.2,20522.3,20468.3,20695.9,21954.2,22426.1,22505.6,22432.3,23741.2,23642.5,23409.1,23025.0,22813.6,22765.2,23958.9,23261.1,23015.2,23092.5,23182.6,23520.3,24056.5,24013.2,23862.8,23913.5,24460.0,24102.4,23190.3,23222.4,22616.9,24150.8,23935.3,23114.4,23341.8,23552.5,23147.1,22339.2,22059.0,21198.7,21569.6,21844.9,22138.6,21507.3,21469.5,21749.8,21695.5,22264.4,22600.5,22784.0,22610.9,22718.4,22912.0,23244.4,23090.4,23305.5,23834.2,25065.2,25339.4,25710.1,26554.9,27721.3,27986.4,28722.1,28653.6,29183.1,28539.0,29048.2,28492.2,27770.8,27386.9,27126.7,28076.2,27530.5,28010.4,28050.8,28015.9,27017.1,27171.6,27390.1,27381.1,27008.5,27538.4,27231.2,27227.6,27705.6,28090.5,27898.6,27259.8,27744.8,26658.9,28210.1,26642.9,25848.7,24719.7,24611.6,23731.6
"건물건설 및 건축보수업",14533.7,15271.7,15870.1,15707.5,15457.5,15300.1,15344.5,15023.2,14451.2,14951.1,14703.0,15156.6,13590.8,12897.5,12163.8,11282.5,11434.8,10655.9,10291.2,10073.4,9853.7,10527.2,10519.1,10494.8,10495.9,11130.9,11623.8,12062.0,12361.9,12424.0,12609.7,13382.1,14224.1,14130.8,14162.2,14996.7,15331.1,14849.5,14642.0,14480.7,14318.6,15208.9,14682.6,14667.1,14756.3,14889.1,14984.4,15264.2,15026.6,15090.3,15101.0,15674.0,15398.5,14500.2,14441.2,13121.2,13486.1,13727.8,13703.9,13421.0,13887.8,13780.2,13325.4,13249.2,12475.0,13032.3,13327.0,13234.2,12958.7,12880.4,13201.8,13134.3,13905.5,14208.6,14157.9,14467.7,14565.8,14911.5,15022.1,14840.2,14951.2,15478.3,16640.0,17156.4,17733.0,18732.9,19504.2,20003.4,20880.1,20932.7,21572.5,21032.4,21379.2,21181.7,20605.6,20400.5,20045.7,20123.7,19520.3,19655.9,19649.4,19550.2,19132.0,19359.1,19387.1,19560.6,19671.9,20171.4,20191.2,20319.8,20781.9,20846.6,20589.5,20031.0,20145.9,19026.7,20234.1,19078.7,18207.0,17695.6,17321.0,16893.4
"주거용 건물 건설업",6913.5,7241.1,7349.1,7479.1,7340.2,7220.9,7314.0,6972.8,6579.7,6814.4,6520.1,6955.4,6031.6,6041.4,5852.6,5583.3,5505.5,5245.7,5062.4,4910.3,4470.5,4644.7,4621.1,4540.4,4478.1,4875.5,5287.5,5803.7,5922.6,5763.9,5627.3,5873.5,6722.6,6538.4,6685.1,6902.7,7200.0,6939.1,6999.4,6974.2,6681.8,7207.8,7080.1,7118.2,6907.1,6953.0,6916.5,6957.4,7114.1,6993.0,6898.9,7166.0,6936.9,6512.1,6493.3,5342.5,5857.0,6026.8,5944.3,5505.9,5704.8,5341.7,4901.2,4647.2,4209.0,4345.5,4543.4,4716.3,4558.4,4583.3,4811.7,4992.3,5343.6,5543.3,5664.1,5862.4,6072.0,6252.3,6129.5,6072.2,6379.8,6707.6,7475.7,7960.2,8381.1,9098.2,9489.2,9856.0,10443.1,10383.5,10552.0,10484.0,10795.7,10732.7,10619.0,10064.5,9653.2,9579.2,9032.6,8866.9,8986.8,9100.3,8997.4,8881.9,8594.0,8548.3,8760.9,9216.1,8743.2,8974.1,9099.6,9141.5,9093.2,8812.7,8724.5,8243.4,8727.1,8216.2,7661.5,7387.5,6945.3,6779.8
"비주거용 건물 건설업",5693.4,6033.0,6469.0,6129.2,6044.8,5923.3,5859.5,5815.0,5628.9,5835.6,5913.5,5912.0,5774.9,5032.7,4485.2,3902.0,4055.0,3568.3,3428.1,3387.9,3728.4,4125.4,4172.0,4212.8,4235.6,4412.8,4495.3,4452.6,4730.2,4976.3,5357.7,5878.3,5830.1,5885.8,5969.6,6506.0,6523.4,6399.8,6179.3,6072.0,6122.5,6484.1,6160.8,6117.0,6434.2,6475.5,6512.0,6804.9,6447.6,6662.2,6763.7,7093.8,7068.5,6615.4,6658.4,6508.6,6397.0,6412.9,6470.4,6646.9,6894.1,7152.1,7119.8,7264.0,6967.0,7314.6,7387.4,7150.9,7098.5,6985.1,7060.6,6816.1,7297.0,7377.9,7222.7,7272.7,7201.3,7386.2,7584.4,7476.4,7286.6,7447.7,7813.1,7884.9,7981.3,8151.1,8483.0,8575.9,8881.5,9011.3,9371.3,9017.5,8913.6,8779.2,8280.9,8650.7,8633.4,8728.0,8718.5,8971.4,8853.9,8674.8,8308.7,8470.2,8767.5,8915.5,8811.6,8839.5,9170.0,9162.0,9538.6,9596.6,9379.9,9149.1,9368.2,8742.8,9417.6,8835.5,8494.4,8251.0,8349.1,8110.3
"건축보수업",1996.1,2068.2,2123.5,2175.4,2148.4,2239.9,2256.2,2328.1,2338.7,2399.1,2365.0,2385.0,1840.0,1893.7,1905.1,1883.3,1951.4,1919.1,1876.1,1849.0,1718.3,1822.3,1789.2,1804.9,1846.6,1910.0,1909.8,1876.2,1768.4,1738.1,1670.4,1670.4,1714.8,1751.1,1536.8,1614.7,1634.2,1530.4,1483.2,1453.7,1538.8,1536.6,1460.4,1450.8,1427.2,1475.6,1577.5,1514.7,1480.8,1445.2,1447.2,1416.1,1394.2,1378.9,1288.8,1270.4,1230.6,1291.0,1291.1,1264.8,1283.8,1276.9,1296.6,1330.4,1289.9,1363.0,1388.3,1361.8,1292.5,1305.5,1324.0,1325.4,1254.1,1277.9,1263.8,1329.7,1288.7,1266.4,1300.0,1283.7,1280.7,1320.1,1348.7,1308.3,1367.8,1484.8,1532.9,1573.5,1555.3,1536.7,1649.0,1529.5,1670.4,1670.6,1707.7,1686.7,1759.6,1816.8,1769.0,1817.0,1808.3,1775.0,1826.3,2007.2,2025.5,2096.7,2099.4,2115.8,2277.7,2183.6,2143.5,2108.2,2116.1,2069.0,2052.8,2040.2,2089.2,2026.9,2051.1,2057.2,2027.8,2004.5
"토목건설업",7227.9,7020.6,7405.1,8046.7,8630.2,8499.0,9024.0,9575.1,9771.9,9401.4,9607.6,9627.2,9601.8,8948.1,8935.9,9014.4,9158.0,9912.1,9390.0,8972.0,8314.0,8911.1,9169.5,8359.1,8283.2,8549.6,9812.5,8368.9,8114.1,8000.6,8043.2,8526.8,8170.3,8339.2,8236.7,8709.3,8285.1,8526.2,8351.1,8300.6,8410.2,8715.6,8542.8,8316.6,8305.7,8265.0,8503.6,8757.6,8945.6,8736.4,8775.7,8755.1,8672.1,8650.1,8738.8,9426.5,10567.4,10123.8,9345.4,9840.4,9595.9,9303.9,8954.0,8754.0,8660.8,8485.7,8470.4,8846.2,8495.9,8534.3,8498.6,8510.6,8323.1,8359.1,8586.7,8120.0,8129.7,7985.1,8203.1,8228.2,8331.5,8338.3,8417.8,8185.8,7971.7,7819.7,8214.3,7982.8,7843.1,7722.6,7613.7,7509.4,7671.4,7313.2,7167.7,6989.0,7083.3,7953.3,8010.4,8354.3,8401.1,8465.3,7885.3,7813.0,8003.0,7820.5,7336.7,7367.0,7043.0,6911.6,6928.1,7247.2,7311.5,7230.5,7599.0,7630.0,7974.9,7563.0,7638.8,7023.0,7287.8,6836.6
"서비스업",99907.0,101304.9,103518.4,105559.8,107112.2,109846.5,112214.1,114213.0,115138.7,118889.4,121112.0,121237.2,113966.3,115004.7,117894.6,120154.9,123508.4,126849.9,130298.7,132999.9,135813.9,137769.8,138935.9,141670.5,143299.8,145028.0,146765.7,150643.7,155374.1,158220.0,160597.3,161582.3,160666.0,161046.8,163569.8,165762.6,166034.0,167360.2,168694.3,170123.4,172201.9,174311.8,177200.5,179360.5,181336.9,183508.9,185051.4,187316.0,190971.9,193680.4,196569.4,199585.7,201659.3,202714.3,204437.3,201883.0,201486.4,204480.2,208229.7,210644.9,213729.7,215283.1,217057.0,220528.4,223134.1,224409.3,225354.8,226889.8,230484.4,231963.0,233097.1,234891.1,237055.1,240156.7,242186.5,243822.2,245732.6,247099.1,248763.3,250641.2,252401.8,253742.6,257206.4,259934.6,261447.1,264112.4,265943.0,266629.9,268263.0,270533.2,273894.8,275374.8,280532.4,282011.8,284365.8,286742.8,289593.9,292864.5,295049.7,299181.3,293355.5,289122.0,293483.8,295704.5,299171.4,304421.0,306966.3,312044.6,310618.6,316630.3,318799.6,323022.1,323766.5,324741.0,326703.8,327884.9,329949.9,330241.5,331459.7,332549.7,331842.4,334600.1
"도소매 및 숙박음식업",24751.0,24928.9,24802.0,25365.6,25636.7,26552.6,26903.4,27296.2,26336.7,27956.2,28262.7,27833.5,24855.3,24471.9,25327.0,26245.1,27993.1,28624.8,30144.0,30929.7,31108.7,31822.2,32109.8,32351.1,32944.6,33702.9,33606.8,33846.3,34772.5,35619.5,35853.1,35693.2,34700.1,34284.9,34609.3,34759.7,34746.4,34446.5,34580.9,34939.1,34712.8,35068.7,35596.1,36049.6,36547.0,36834.1,36922.6,36637.7,38369.0,38616.5,38674.9,39577.8,39874.1,39987.2,40318.1,38161.8,38549.7,39168.6,40000.0,40494.6,41511.0,41821.5,42523.0,43196.5,43771.8,44180.0,44311.8,44667.9,45281.9,45817.3,46281.3,46594.7,46952.9,47503.3,48096.1,48403.5,48428.5,48506.8,48507.2,48158.5,49410.0,49430.1,50000.9,50589.6,51005.1,51279.0,51287.6,51516.8,51220.8,52344.3,53185.7,53061.5,53041.1,53769.8,54320.3,54815.9,55408.2,55843.8,56139.7,56785.4,54255.2,53276.7,53761.1,53578.4,53219.7,54653.5,54713.8,57106.5,55503.6,57952.9,58867.9,59650.0,58165.2,56115.7,55573.7,55460.9,56449.5,55689.2,55016.8,54865.7,54854.9,55795.7
"도소매업",18307.1,18480.1,18217.7,18606.8,18767.0,19566.5,19801.5,20075.2,19143.0,20629.1,20906.5,20447.2,18295.9,18088.6,18737.1,19554.1,20169.6,20837.8,22049.9,22651.1,22939.4,23409.8,23542.5,23607.6,23921.1,24421.2,24262.5,24373.5,25130.0,25551.0,25911.2,25806.8,24863.3,24522.3,24869.3,25070.1,24997.6,24659.8,24809.6,25227.6,25318.4,25579.1,26077.3,26284.9,26851.2,27128.2,27112.1,26791.7,28277.7,28478.3,28502.1,29138.6,29387.2,29609.8,29872.0,28003.0,28335.9,28878.5,29746.3,30199.1,30897.5,31256.3,31909.6,32567.7,33108.3,33500.1,33675.5,34062.0,34543.6,34940.9,35369.8,35735.1,36166.1,36617.0,37186.5,37372.1,37386.7,37479.5,37280.3,37002.5,38208.1,38369.3,38844.2,39170.8,39397.0,39598.1,39547.2,39896.5,39600.9,40591.9,41268.2,41361.2,40945.9,41652.0,42126.2,42545.7,42738.9,43292.7,43633.7,44027.1,43180.4,42526.0,43351.8,43991.4,43270.4,43841.9,43644.8,44888.4,44357.9,45502.5,45795.5,46488.3,45451.5,44280.9,43449.7,43026.2,43869.2,44017.1,43137.5,42615.3,42806.4,44413.3
"숙박 및 음식점업",6841.2,6829.6,7041.3,7237.8,7377.1,7446.6,7580.4,7714.1,7760.9,7805.8,7819.9,7899.4,7005.1,6797.6,7013.3,7084.4,8482.6,8385.5,8686.9,8877.5,8700.5,8978.4,9170.7,9397.1,9755.5,10054.5,10157.2,10321.0,10471.5,11011.8,10796.5,10731.9,10758.2,10691.3,10628.8,10542.8,10626.5,10713.1,10676.5,10552.0,10085.3,10187.2,10166.2,10486.8,10324.5,10306.2,10453.2,10539.6,10712.4,10755.1,10799.4,11093.5,11132.4,10964.4,11030.7,10829.3,10871.7,10919.7,10783.5,10794.0,11153.4,11054.4,11055.5,11012.4,10995.5,10976.6,10899.0,10817.2,10949.6,11095.2,11099.3,10993.3,10863.0,10952.6,10931.2,11074.2,11088.1,11063.2,11327.1,11258.6,11239.4,11062.4,11150.4,11444.7,11643.7,11718.3,11786.2,11640.9,11651.2,11769.7,11932.2,11692.3,12130.2,12139.3,12211.2,12284.0,12704.2,12571.2,12518.3,12778.4,11081.3,10755.5,10408.6,9576.2,9949.3,10811.6,11069.0,12218.0,11146.4,12484.5,13124.4,13210.9,12742.9,11872.6,12152.5,12455.7,12582.9,11745.6,11918.5,12250.8,12065.9,11502.8
