date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M
2004-02-01,300990.0,16845.733333333334,8687.733333333334,73.7,138.61992714042,6.11,95.7,1133.7725,143.31074454712294,291634.2833333334,15.355808513158241,0.0,1743.4666666666672,6.11
2004-03-01,302404.3,17114.2,8477.1,73.7,133.37595142307265,6.13,95.7,1123.805,142.5725966153301,293002.76666666666,17.02913960931442,0.0,1729.300000000001,6.18
2004-04-01,303244.9,17278.433333333334,8458.2,73.7,124.82180573678518,6.01,95.7,1113.8375,139.8050978842178,294436.0472222222,19.24605971578385,0.0,1585.5666666666657,6.23
2004-05-01,304085.5,17442.666666666668,8439.3,73.7,128.9513974694852,5.95,95.7,1103.87,137.10545628619778,295934.125,21.77909462607813,0.0,1441.8333333333358,6.11
2004-06-01,304926.1,17606.9,8420.4,73.7,133.11359988209395,6.08,95.7,1093.9025,134.19592820829135,297497.0,24.441824326123257,0.0,1298.1000000000022,6.13
2004-07-01,305186.1333333333,17552.8,8408.8,73.7,127.92489075921472,5.97,95.7,1083.935,131.13459540184527,298954.43055555556,27.086440821729745,0.0,975.5333333333328,6.01
2004-08-01,305446.1666666667,17498.7,8397.2,73.7,128.5424731627507,5.86,95.7,1073.9675,129.4550197389004,300306.4166666667,29.590129575370426,0.0,652.9666666666672,5.95
2004-09-01,305706.2,17444.6,8385.6,73.7,126.6985532979113,5.77,95.7,1064.0,128.3421200513735,301552.9583333333,31.84210800749975,0.0,330.3999999999978,6.08
2004-10-01,306541.43333333335,17656.333333333332,8480.633333333333,73.7,124.72797794597672,5.73,95.7,1054.0325,128.32648208623877,302663.1666666667,33.73291232033299,0.0,377.8999999999978,5.97
2004-11-01,307376.6666666667,17868.066666666666,8575.666666666668,73.7,118.16074034818962,5.63,95.7,1044.065,126.52803923268952,303637.0416666667,35.14445221879855,0.0,425.3999999999978,5.86
2004-12-01,308211.9,18079.8,8670.7,73.7,117.76456201711908,5.54,95.7,1034.0975,123.96986625519368,304474.5833333333,35.93833233818931,0.0,472.8999999999978,5.77
2005-01-01,309173.63333333336,18272.1,8780.266666666666,73.7,112.99018691931352,5.64,95.7,1024.13,121.48074894854348,305274.4111111111,35.93833233818917,0.0,719.2999999999993,5.73
2005-02-01,310135.36666666664,18464.4,8889.833333333334,73.7,114.54330924316793,5.63,95.7,1018.3758333333334,119.14755496194635,306036.52499999997,35.370138243980215,0.0,965.7000000000007,5.63
2005-03-01,311097.1,18656.7,8999.4,73.7,119.34126818098622,5.65,95.7,1012.6216666666668,117.92134077579219,306760.925,34.35213292214357,0.0,1212.1000000000022,5.54
2005-04-01,313041.4333333333,18797.566666666666,9001.233333333334,73.7,117.38867042192685,5.66,95.7,1006.8675,116.6981228551172,307577.3027777778,32.98303117349165,0.0,1141.2333333333336,5.64
2005-05-01,314985.76666666666,18938.43333333333,9003.066666666666,73.7,112.19109826930756,5.57,95.7,1001.1133333333336,115.70318250863686,308485.6583333333,31.351606544698807,0.0,1070.366666666665,5.63
2005-06-01,316930.1,19079.3,9004.9,73.7,106.4571537394907,5.6,95.7,995.3591666666669,113.81861446236546,309485.99166666664,29.54375412871167,0.0,999.5,5.65
2005-07-01,318413.1666666666,19270.366666666665,9033.166666666666,73.7,100.66918945545756,5.58,95.7,989.605,111.76511488505615,310588.2444444444,27.648501994922146,0.0,998.2666666666664,5.66
2005-08-01,319896.23333333334,19461.43333333333,9061.433333333334,73.7,96.32267500860404,5.53,95.7,983.8508333333334,108.72834251262883,311792.4166666667,25.76361526101128,0.0,997.0333333333292,5.57
2005-09-01,321379.3,19652.5,9089.7,73.7,96.52652606899068,5.67,95.7,978.0966666666668,104.9258854939629,313098.50833333336,24.000437326351463,0.0,995.7999999999993,5.6
2005-10-01,322608.5,19865.733333333334,9131.033333333336,73.7,98.92784053326096,5.75,95.7,972.3425,101.84908051251858,314437.43055555556,22.48597484174057,0.0,1068.1666666666679,5.58
2005-11-01,323837.7,20078.966666666667,9172.366666666669,73.7,96.79886338695118,5.75,95.7,966.5883333333334,99.28370803212584,315809.1833333333,21.35788408835318,0.0,1140.5333333333365,5.53
2005-12-01,325066.9,20292.2,9213.7,73.7,87.57965598519598,5.8,95.7,960.8341666666668,96.13745840641006,317213.76666666666,20.746942964233337,0.0,1212.9000000000015,5.67
2006-01-01,326789.4,20448.533333333333,9134.966666666667,73.7,89.8854844806963,5.85,95.7,955.08,94.34017424394987,318681.7472222222,20.746942964233128,0.0,1178.1666666666679,5.75
2006-02-01,328511.9,20604.86666666667,9056.233333333334,73.7,91.08437371687636,5.94,95.7,952.92,93.4671240286619,320213.125,20.2689593015775,0.0,1143.433333333338,5.75
2006-03-01,330234.4,20761.2,8977.5,73.7,92.19277921178124,5.99,95.7,950.76,92.74483288579368,321807.89999999997,19.42016116338269,0.0,1108.7000000000007,5.8
2006-04-01,331028.8666666667,20906.63333333333,9212.366666666669,73.7,90.24477516503626,5.92,95.7,948.6,91.2976553244229,323306.85277777776,18.284039902371767,0.0,1040.8999999999978,5.85
