Year,population,unemployment_rate,productivity_index,change_qoq,growth_rate_qoq,total_wage,BSI,BSI_Composite,cpi_growth,wage_growth,real_wage_growth,unemployment_rate_MA3,BSI_Composite_MA3,unemployment_rate_change3,BSI_Composite_change3
1995,31546788.15051438,3.4237538533351652,98.856645938343,0.6384278864286059,1.2154899420364365,4810540.024832086,92.1269576044731,,0.3833333333333333,0.1876073265204842,-0.14875630984315194,3.4657551358061616,,0.19065343244938543,
1996,32130808.625,3.5806035675699923,99.56767213368839,-0.05569370852120359,-0.015962925699169683,4503580.51778516,87.59990177269133,,0.4166666666666667,0.43156633328305016,0.0148996666163832,3.5622208510541644,,0.08935614437021312,
1997,32578204.708333332,3.3767308822828332,100.63902800031845,0.8850419568852695,1.3582168758300532,4319924.8621006,92.52714864080713,,0.5499999999999999,2.1643452208117515,1.6143452208117512,3.4443532118955225,,-0.17313730537087543,
1998,32972498.583333332,3.276894192080029,101.89551169964307,-0.48132305943370657,0.31141807771776037,4363918.191885709,94.21182349820221,,0.31666666666666665,-0.7051924108368746,-1.0218590775035414,3.1904194138909556,,0.21893537938296995,
1999,33285331.416666668,4.563891650189272,97.5470977062214,0.010239600142122218,-1.5570698922866848,4195952.81483863,93.0452984436639,,0.11666666666666665,4.39600728249661,4.279340615829944,4.493988493798432,,0.209343539233005,
2000,33572837.291666664,4.425,99.24130836555581,0.6709861877441071,0.13982054202510455,3726227.572620344,91.2320062121896,,0.225,-0.677806660770721,-0.9028066607707212,4.4944444444444445,,-0.24999999999999992,
2001,33834586.541666664,4.0,101.77515747311158,0.13607053539383576,2.1717096941835865,3772978.325347141,92.37366427156225,,0.26666666666666666,-1.1136267949135648,-1.3802934615802325,4.052777777777778,,-0.13333333333333333,
2002,34059809.0,3.2583333333333333,96.9729331824772,0.23546042902160091,0.7665683660491788,3638082.6793646812,92.99796071867915,,0.325,6.885797760495367,6.560797760495369,3.3055555555555554,,-0.13333333333333333,
2003,34270339.708333336,3.5500000000000003,105.05898060745061,-0.9823169863327591,0.8650740383335019,3340237.070769198,91.00975166600922,,0.27499999999999997,0.45873084207980536,0.1837308420798053,3.494444444444444,,0.15833333333333335,
2004,34451054.125,3.658333333333333,101.70838273424435,-0.9415805466046717,-0.509123423563309,3332661.2273895075,88.63263928651274,,0.25,1.753470567880596,1.5034705678805966,3.658333333333333,,9.25185853854297e-18,
2005,34586058.958333336,3.75,101.76902508678695,0.0034465434627950673,-0.1551089415428394,2835832.264095686,90.93715878165773,,0.21666666666666667,0.2017301126049175,-0.014936554061749282,3.772222222222222,,-0.024999999999999956,
2006,34798885.958333336,3.475,98.91876289832959,1.1837101727376416,0.9809555324014435,2851110.0816201735,87.88916644666584,,0.17499999999999996,11.262064922039029,11.087064922039028,3.488888888888889,,-0.049999999999999996,
2007,35082223.458333336,3.2583333333333333,101.33700090399755,-1.6488892507783903,-0.0945759803970813,2779520.243673381,90.54643633818732,,0.3083333333333333,5.4052071860672255,5.096873852733892,3.275,,-0.05833333333333329,
2008,35413716.208333336,3.1750000000000003,98.96761307208277,1.5793123581367652,0.8797094019903647,2569165.6666666665,83.06249292039398,84.71428571428571,0.3333333333333333,-0.39559966403337476,-0.7289329973667084,3.163888888888889,86.53333333333333,0.016666666666666677,-15.000000000000002
2009,35757588.666666664,3.6333333333333333,100.06242519333114,0.6044286194020866,0.23057155789217432,2636816.6666666665,75.77777777777779,77.11111111111111,0.24166666666666667,1.2055368049282016,0.963870138261535,3.613888888888889,75.17592592592592,0.05833333333333337,4.027777777777778
2010,36067911.125,3.7083333333333335,100.57786154724215,0.39554843553338115,0.28533868149208846,2817268.75,93.22222222222223,97.80555555555554,0.25,1.3131484018601427,1.0631484018601427,3.716666666666667,96.92592592592592,-0.01666666666666668,2.694444444444444
2011,36447674.625,3.408333333333333,94.06666666666666,-0.5081149167892022,-0.34215177852127915,2606684.0833333335,90.66666666666667,96.0,0.35000000000000003,-0.48528883207983853,-0.8352888320798387,3.4388888888888887,96.7037037037037,-0.08333333333333331,-2.25
2012,36761524.916666664,3.225,93.50833333333333,0.775,0.9083333333333333,2743836.5833333335,85.41666666666667,89.5,0.125,0.8097951702289197,0.68479517022892,3.233333333333333,90.05555555555556,-0.024999999999999984,-1.3333333333333346
2013,36941532.666666664,3.1,96.61666666666667,0.5000000000000001,0.5083333333333333,2836976.5833333335,88.13888888888887,87.88888888888887,0.09999999999999999,0.5966482198108688,0.4966482198108692,3.1,87.41666666666667,-0.016666666666666597,1.0277777777777786
2014,37144995.291666664,3.4916666666666667,97.64166666666667,-0.04166666666666663,0.00833333333333334,2904772.25,90.27777777777777,91.44444444444446,0.075,0.5119042163122757,0.43690421631227555,3.4638888888888886,91.3425925925926,0.09999999999999998,0.3611111111111119
2015,37357703.666666664,3.591666666666667,96.05833333333334,-0.24166666666666659,-0.25000000000000006,2991190.4166666665,90.75,92.41666666666667,0.08333333333333333,0.8851539477429894,0.8018206144096558,3.597222222222222,92.17592592592592,-0.016666666666666625,0.3888888888888881
2016,37526370.708333336,3.6750000000000003,97.8,0.28333333333333327,0.26666666666666666,3106178.8333333335,91.91666666666667,93.36111111111113,0.11666666666666668,0.5403671707553254,0.4237005040886587,3.672222222222222,93.37962962962962,0.024999999999999984,0.27777777777777857
2017,37582837.958333336,3.6833333333333336,101.52499999999999,1.9583333333333337,2.125,3206848.1666666665,95.72222222222223,96.6388888888889,0.13333333333333333,0.597809333030933,0.4644759996976002,3.6777777777777776,96.25,0.0,0.8055555555555559
