Date,population,unemployment_rate,productivity_index,change_qoq,growth_rate_qoq,total_wage,BSI,Year,GFCF_ICT_Real,BSI_Composite,cpi_growth,wage_growth,real_wage_growth,unemployment_rate_MA3,BSI_Composite_MA3,unemployment_rate_change3,BSI_Composite_change3,unemployment_rate_MA6,BSI_Composite_MA12,real_wage_growth_change12,unemployment_rate_std3,BSI_Composite_std6,growth_rate_qoq_lag1
2006-09-01,34859798.25,3.2,98.5265494266318,-1.3384526848526923,-0.5508373732809477,3018131.066244194,99.95536442159474,2006,25385.8,,0.3,39.3678080327202,39.0678080327202,3.3333333333333335,,-0.19999999999999973,,3.35,,-31.696720915904628,0.11547005383795267,,1.6122444078950844
2006-10-01,34884163.166666664,3.3,97.73322506322044,6.7973160126112795,0.3482774261501921,3278070.877129059,87.8556247575278,2006,25385.8,,-0.5,8.612608438119885,9.112608438119885,3.2999999999999994,,-0.10000000000000009,,3.316666666666667,,24.411545485111642,0.10000000000003172,,-0.5508373732809477
2006-11-01,34908528.083333336,3.2,96.92219864629816,0.4502947948704458,-0.9396369452978688,2981996.632025217,78.51843838716454,2006,25385.8,,-0.5,-9.03196593977077,-8.53196593977077,3.233333333333333,,-0.19999999999999973,,3.3166666666666664,,-18.688958507001473,0.05773502691901743,,0.3482774261501921
2006-12-01,34932893.0,3.3,101.35009530289469,1.9311192978117893,3.102523096823718,3317645.700585256,83.58599167286584,2006,25385.8,,0.3,11.255850021939274,10.955850021939273,3.266666666666667,,0.09999999999999964,,3.3000000000000003,,60.44273266970933,0.05773502691901743,,-0.9396369452978688
2007-01-01,34955866.916666664,3.6,101.93366507360328,2.403158248314498,-0.52967827698155,2462824.4548175987,96.95812720207788,2007,27022.2,,0.2,-25.765899162073293,-25.965899162073292,3.3666666666666667,,0.30000000000000027,,3.3333333333333335,,-90.43215355105121,0.20816659994662853,,3.102523096823718
2007-02-01,34978840.833333336,3.7,101.58279595106484,-4.144451576129934,-0.2720189595545337,2569434.417888473,86.1050971143719,2007,27022.2,,0.7,4.328768250710335,3.628768250710335,3.533333333333333,,0.5,,3.3833333333333333,,13.34165218773654,0.20816659994662853,,-0.52967827698155
2007-03-01,35001814.75,3.5,102.58299579470363,0.453652162971996,0.0456599454441258,2601699.3936475315,101.6061771176278,2007,27022.2,,0.6,1.2557228756036487,0.6557228756036487,3.6,,0.20000000000000018,,3.4333333333333336,,-52.56824717952399,0.10000000000003116,,-0.2720189595545337
2007-04-01,35024788.666666664,3.4,96.97509356610516,-4.4154292412799405,-1.5263771597047948,3947488.297045703,96.65018267562888,2007,27022.2,,0.4,51.727302035128744,51.327302035128746,3.5333333333333337,,-0.20000000000000018,,3.4499999999999997,,101.46194683986532,0.1527525231652151,,0.0456599454441258
2007-05-01,35047762.583333336,3.2,103.1224474122469,-0.4741752071633718,-0.5101518600696575,2670314.5925623532,68.73028359464814,2007,27022.2,,0.1,-32.35408463247846,-32.45408463247846,3.3666666666666667,,-0.5,,3.4499999999999997,,-92.09877101330483,0.15275252316521468,,-1.5263771597047948
2007-06-01,35070736.5,3.2,98.52613447252692,1.4317463855185637,1.589708142626932,2435299.557888554,82.64832550713379,2007,27022.2,,0.0,-8.801024243674826,-8.801024243674826,3.266666666666667,,-0.2999999999999998,,3.4333333333333336,,20.56963269311585,0.11547005383795148,,-0.5101518600696575
2007-07-01,35093710.416666664,3.3,101.72019048754586,-3.1883990800637396,0.2276521746283005,1893663.599533055,92.21707461341003,2007,27022.2,,0.4,-22.241040392792854,-22.641040392792853,3.233333333333333,,-0.10000000000000009,,3.3833333333333333,,-24.8604533906689,0.057735026919015185,,1.589708142626932
2007-08-01,35116684.333333336,3.1,96.87385081324685,-1.899506475809143,-2.094565772401576,3255076.9462964796,79.76116370680315,2007,27022.2,,0.1,71.89309374163003,71.79309374163003,3.1999999999999997,,-0.10000000000000009,,3.283333333333333,,79.6887533744248,0.10000000000003041,,0.2276521746283005
2007-09-01,35139658.25,3.0,104.4165612222254,-3.59500565500428,-0.0457370226605484,2242728.1498778546,95.99428492122998,2007,27022.2,,0.6,-31.100610311852762,-31.700610311852763,3.1333333333333333,,-0.20000000000000018,,3.1999999999999997,,-70.76841834457296,0.1527525231652146,,-2.094565772401576
2007-10-01,35162632.166666664,3.0,108.80540556583315,-3.111402182240215,4.243617510273542,3096185.009179982,77.59842983417442,2007,27022.2,,0.2,38.054405271927806,37.8544052719278,3.033333333333333,,-0.2999999999999998,,3.1333333333333333,,28.741796833807918,0.05773502691901543,,-0.0457370226605484
2007-11-01,35185606.083333336,3.0,98.51551803203532,-0.5886772230347487,-2.631668450462811,2666556.1219258513,99.37280806032597,2007,27022.2,,0.0,-13.876072843848464,-13.876072843848464,3.0,,-0.10000000000000009,,3.1,,-5.3441069040776945,0.0,,4.243617510273542
2007-12-01,35208580.0,3.1,100.9893524568334,-2.6581811654203675,0.3686479640975957,3512972.383417133,108.91528171081583,2007,27022.2,,0.4,31.741925644526802,31.341925644526803,3.0333333333333337,,0.10000000000000009,,3.0833333333333335,,20.38607562258753,0.05773502691901543,,-2.631668450462811
2008-01-01,35240139.416666664,3.3,104.17624288405602,2.110922220636205,1.0909550157434222,2506977.0,95.96936222655988,2008,26010.3,,0.5,-28.636586731108395,-29.136586731108395,3.1333333333333333,,0.2999999999999998,,3.0833333333333335,,-3.1706875690351026,0.1527525231652146,,0.3686479640975957
2008-02-01,35271698.833333336,3.5,93.44516742915076,6.941361636043512,-0.3557698282325465,2802574.0,88.37459096044954,2008,26010.3,,0.4,11.790973750457233,11.390973750457233,3.3000000000000003,,0.5,,3.15,,7.762205499746898,0.20000000000001505,,1.0909550157434222
2008-03-01,35303258.25,3.4,95.68912187561033,-1.2947619353712911,-1.744936319938541,2462429.0,88.33624398280668,2008,26010.3,,0.9,-12.136878455305734,-13.036878455305734,3.4,,0.2999999999999998,,3.216666666666667,,-13.692601330909383,0.10000000000002986,,-0.3557698282325465
2008-04-01,35334817.666666664,3.2,98.86256488127522,-1.967255583596743,3.120653861663774,2460087.0,89.73349628571549,2008,26010.3,,0.6,-0.09510934122364256,-0.6951093412236425,3.3666666666666667,,-0.09999999999999964,,3.25,,-52.02241137635239,0.1527525231652142,,-1.744936319938541
2008-05-01,35366377.083333336,3.1,96.59271035461342,3.5250919488761436,0.4044111783133576,2335684.0,95.00288825586271,2008,26010.3,,0.8,-5.056853680377971,-5.856853680377971,3.233333333333333,,-0.3999999999999999,,3.266666666666667,,26.597230952100492,0.15275252316521476,,3.120653861663774
2008-06-01,35397936.5,3.1,97.70507195335648,3.296079128414684,3.3878873571366652,2585567.0,85.33333333333333,2008,26010.3,96.66666666666667,0.6,10.698493460587999,10.098493460588,3.1333333333333333,,-0.2999999999999998,,3.266666666666666,,18.899517704262827,0.057735026919017225,,0.4044111783133576
2008-07-01,35429495.916666664,3.1,93.52251311652545,4.662012574731292,0.687413283949207,2590580.0,90.0,2008,26010.3,91.66666666666667,0.7,0.19388397206492325,-0.5061160279350767,3.1,,-0.10000000000000009,,3.233333333333334,,22.134924364857778,0.0,,3.3878873571366652
2008-08-01,35461055.333333336,3.1,106.64931146655825,-1.0561860544252326,0.9020820721550455,2512826.0,84.0,2008,26010.3,94.0,-0.2,-3.0014128110307348,-2.8014128110307346,3.1,94.11111111111113,0.0,,3.1666666666666665,,-74.59450655266076,0.0,,0.687413283949207
2008-09-01,35492614.75,3.0,97.38975271913884,0.9286228798600016,-2.257504529846148,2769733.0,81.66666666666667,2008,26010.3,88.33333333333333,0.1,10.223827674498743,10.123827674498743,3.066666666666667,91.33333333333333,-0.10000000000000009,-8.333333333333343,3.1,,41.824437986351505,0.05773502691901767,,0.9020820721550455
2008-10-01,35524174.166666664,3.0,102.81630186064716,1.461013322560864,-0.1085813834656677,2483047.0,77.0,2008,26010.3,86.66666666666667,-0.1,-10.350672790481974,-10.250672790481975,3.033333333333333,89.66666666666667,-0.10000000000000009,-5.0,3.0666666666666664,,-48.105078062409774,0.057735026919017836,,-2.257504529846148
2008-11-01,35555733.583333336,3.0,105.26961788453237,-0.4825162464773544,2.516075508545504,2339772.0,65.33333333333333,2008,26010.3,75.33333333333333,-0.3,-5.770128394669937,-5.4701283946699375,3.0,83.44444444444444,-0.10000000000000009,-18.66666666666667,3.0500000000000003,,8.405944449178527,0.0,7.526742446228107,-0.1085813834656677
