날짜,금리(연리%)
2020-02-01,3.19
2020-03-01,2.94
2020-04-01,2.77
2020-05-01,2.83
2020-06-01,2.75
2020-07-01,2.74
2020-08-01,2.68
2020-09-01,2.7
2020-10-01,2.68
2020-11-01,2.72
2020-12-01,2.73
2021-01-01,2.69
2021-02-01,2.69
2021-03-01,2.74
2021-04-01,2.68
2021-05-01,2.67
2021-06-01,2.72
2021-07-01,2.69
2021-08-01,2.78
2021-09-01,2.88
2021-10-01,2.94
2021-11-01,3.12
2021-12-01,3.14
2022-01-01,3.3
2022-02-01,3.37
2022-03-01,3.39
2022-04-01,3.45
2022-05-01,3.6
2022-06-01,3.84
2022-07-01,4.12
2022-08-01,4.46
2022-09-01,4.66
2022-10-01,5.27
2022-11-01,5.67
2022-12-01,5.56
2023-01-01,5.47
2023-02-01,5.36
2023-03-01,5.25
2023-04-01,5.09
2023-05-01,5.2
2023-06-01,5.32
2023-07-01,5.25
2023-08-01,5.21
2023-09-01,5.27
2023-10-01,5.33
2023-11-01,5.36
2023-12-01,5.29
2024-01-01,5.22
2024-02-01,5.03
2024-03-01,4.96
2024-04-01,4.88
2024-05-01,4.9
2024-06-01,4.88
2024-07-01,4.78
2024-08-01,4.67
2024-09-01,4.77
2024-10-01,4.71
2024-11-01,4.76
2024-12-01,4.62
2025-01-01,4.5
2025-02-01,4.43
2025-03-01,4.32
2025-04-01,4.14
2025-05-01,4.16
2025-06-01,4.06
2025-07-01,4.04
