"통계분류(1)","통계분류(2)",통계분류(1),통계분류(2),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"설립연도","2005년",평균광고경기체감도,하반기,,53,54,50,49,58,55,57,57,60
"설립연도","2005년",평균광고경기체감도,내년예상,,55,57,51,53,60,57,61,61,53
"설립연도","2005년",광고경기전망지수,소계,,109,107.2,105.7,109.5,103.3,105.7,106,106,
"설립연도","2006년",평균광고경기체감도,상반기,,,49,52,48,60,60,53,53,56
"설립연도","2006년",평균광고경기체감도,하반기,,,52,50,48,61,62,54,54,54
"설립연도","2006년",평균광고경기체감도,내년예상,,,57,49,52,64,66,57,57,51
"설립연도","2006년",광고경기전망지수,소계,,,106.5,97.7,112,105.7,111.5,110.1,110.1,
"설립연도","2007년",평균광고경기체감도,상반기,,,,51,51,60,55,55,55,58
"설립연도","2007년",평균광고경기체감도,하반기,,,,49,51,61,59,51,51,57
"설립연도","2007년",평균광고경기체감도,내년예상,,,,53,55,62,63,58,58,52
"설립연도","2007년",광고경기전망지수,소계,,,,115.1,108.4,109.8,116.4,112.3,112.3,
"설립연도","2008년",평균광고경기체감도,상반기,,,,,52,58,61,54,54,57
"설립연도","2008년",평균광고경기체감도,하반기,,,,,52,58,60,55,55,56
"설립연도","2008년",평균광고경기체감도,내년예상,,,,,56,63,63,59,59,50
"설립연도","2008년",광고경기전망지수,소계,,,,,111.9,109.9,104.8,114.6,114.6,
"설립연도","2009년	",평균광고경기체감도,상반기,,,,,,52,54,54,54,57
"설립연도","2009년	",평균광고경기체감도,하반기,,,,,,53,56,54,54,54
"설립연도","2009년	",평균광고경기체감도,내년예상,,,,,,59,60,60,60,51
"설립연도","2009년	",광고경기전망지수,소계,,,,,,140.1,110.8,114.4,114.4,
"설립연도","2010년",평균광고경기체감도,상반기,,,,,,,51,53,53,56
"설립연도","2010년",평균광고경기체감도,하반기,,,,,,,52,53,53,53
"설립연도","2010년",평균광고경기체감도,내년예상,,,,,,,52,54,54,50
"설립연도","2010년",광고경기전망지수,소계,,,,,,,106.9,104.9,104.9,
"설립연도","2011년",평균광고경기체감도,상반기,,,,,,,,52,52,56
"설립연도","2011년",평균광고경기체감도,하반기,,,,,,,,53,53,55
"설립연도","2011년",평균광고경기체감도,내년예상,,,,,,,,59,59,51
"설립연도","2011년",광고경기전망지수,소계,,,,,,,,111.5,111.5,
"설립연도","2012년",평균광고경기체감도,상반기,,,,,,,,,,47
"설립연도","2012년",평균광고경기체감도,하반기,,,,,,,,,,51
"설립연도","2012년",평균광고경기체감도,내년예상,,,,,,,,,,50
"설립연도","2012년",광고경기전망지수,소계,,,,,,,,,,
