date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI
2001-10-01,266982.9,12591.9,8688.8,104.0,85.33333333333333,6.93,58.6,95.7,,85.33333333333333,260224.40833333333,,8.0,1364.8999999999996,7.55,225.04893574543885
2001-11-01,269461.9,12723.733333333334,8964.433333333332,108.33333333333331,85.33333333333333,6.78,52.2,95.7,,85.33333333333333,261502.7111111111,,9.666666666666629,1597.7333333333336,7.29,249.49290390993883
2001-12-01,271940.9,12855.566666666666,9240.066666666668,112.66666666666669,85.33333333333333,6.69,58.3,95.7,,85.33333333333333,262916.825,,11.333333333333371,1830.5666666666657,7.12,190.7308212245352
2002-01-01,274419.9,12987.4,9515.7,117.0,85.33333333333333,6.69,70.7,95.7,,85.33333333333333,264466.75,,13.0,2063.4,6.93,177.5083839118867
2002-02-01,276161.1666666667,13161.933333333332,9517.7,116.66666666666669,85.33333333333333,6.59,59.4,95.7,,85.33333333333333,266054.6277777778,,8.333333333333371,1681.966666666665,6.78,180.22163610202833
2002-03-01,277902.43333333335,13336.466666666667,9519.7,116.33333333333331,85.33333333333333,6.57,64.6,95.7,,85.33333333333333,267680.4583333333,,3.6666666666666288,1300.533333333335,6.69,212.57732909910223
2002-04-01,279643.7,13511.0,9521.7,116.0,85.33333333333333,6.58,59.6,95.7,,85.33333333333333,269344.24166666664,,-1.0,919.1000000000004,6.69,191.4418339423503
2002-05-01,281374.9666666667,13524.666666666666,9535.333333333334,115.33333333333331,85.33333333333333,6.46,58.150000000000006,95.7,,85.33333333333333,271060.4277777778,,-1.3333333333333712,800.9333333333325,6.59,163.04909906825554
2002-06-01,283106.23333333334,13538.333333333334,9548.966666666667,114.66666666666669,85.33333333333333,6.47,64.6,95.7,,85.33333333333333,272829.01666666666,,-1.6666666666666288,682.7666666666682,6.57,185.41744891645618
2002-07-01,284837.5,13552.0,9562.6,114.0,85.33333333333333,6.48,57.85,95.7,,85.33333333333333,274650.00833333336,,-2.0,564.6000000000004,6.58,168.83236886947037
2002-08-01,285734.1666666667,13798.8,9582.133333333331,110.33333333333331,85.33333333333333,6.41,60.45,95.7,,85.33333333333333,276434.68611111114,,-5.0,636.8666666666668,6.46,186.62363365780556
2002-09-01,286630.8333333333,14045.6,9601.666666666668,106.66666666666669,85.33333333333333,6.46,72.0,95.7,,85.33333333333333,278183.05,,-8.0,709.1333333333332,6.47,136.54978544887047
2002-10-01,287527.5,14292.4,9621.2,103.0,85.33333333333333,6.44,58.2,95.7,,85.33333333333333,279895.10000000003,,-11.0,781.3999999999996,6.48,141.0690538234678
2002-11-01,287012.5,14331.0,9392.366666666669,101.0,85.33333333333333,6.41,63.65,95.7,,85.33333333333333,281357.65,,-9.333333333333314,806.3333333333339,6.41,133.87368454195644
2002-12-01,286497.5,14369.6,9163.533333333336,99.0,85.33333333333333,6.41,62.0,95.7,,85.33333333333333,282570.7,,-7.666666666666686,831.2666666666664,6.46,99.79776049343661
2003-01-01,285982.5,14408.2,8934.7,97.0,85.33333333333333,6.35,56.8,95.7,,85.33333333333333,283534.25,,-6.0,856.2000000000007,6.44,141.29576240439852
2003-02-01,286045.5333333333,14451.133333333331,8983.933333333334,95.0,85.33333333333333,6.24,46.95,95.7,,85.33333333333333,284357.9472222222,,-6.0,652.3333333333321,6.41,134.88471127410125
2003-03-01,286108.56666666665,14494.066666666668,9033.166666666666,93.0,85.33333333333333,6.37,67.5,95.7,,85.33333333333333,285041.7916666667,,-6.0,448.4666666666672,6.41,122.5774114779939
2003-04-01,286171.6,14537.0,9082.4,91.0,85.33333333333333,6.31,60.5,95.7,,85.33333333333333,285585.7833333333,,-6.0,244.6000000000004,6.35,110.70366694746362
2003-05-01,287696.9666666667,14819.633333333331,9210.533333333333,91.0,85.33333333333333,6.18,56.95,95.7,,85.33333333333333,286112.61666666664,,-4.0,488.6333333333314,6.24,73.70795747738816
2003-06-01,289222.3333333333,15102.266666666666,9338.666666666666,91.0,85.33333333333333,6.18,67.75,95.7,,85.33333333333333,286622.2916666667,,-2.0,732.6666666666661,6.37,94.78689226562604
2003-07-01,290747.7,15384.9,9466.8,91.0,85.33333333333333,6.14,55.35,95.7,,85.33333333333333,287114.8083333333,,0.0,976.6999999999988,6.31,91.3922347468121
2003-08-01,293218.93333333335,15692.866666666669,9347.533333333333,92.0,85.33333333333333,5.99,57.25,95.7,,85.33333333333333,287738.5388888889,,1.0,1241.7333333333372,6.18,73.6493273126852
2003-09-01,295690.1666666667,16000.833333333332,9228.266666666666,93.0,85.33333333333333,5.95,55.65,95.7,,85.33333333333333,288493.48333333334,,2.0,1506.7666666666646,6.18,85.28542921995945
2003-10-01,298161.4,16308.8,9109.0,94.0,85.33333333333333,5.99,53.25,95.7,,85.33333333333333,289379.64166666666,,3.0,1771.7999999999993,6.14,94.90194098973834
2003-11-01,299575.7,16577.266666666666,8898.366666666667,94.33333333333331,85.33333333333333,6.11,51.55,95.7,,85.33333333333333,290426.575,,2.3333333333333144,1757.633333333335,5.99,128.99214818484566
2003-12-01,300990.0,16845.733333333334,8687.733333333334,94.66666666666669,85.33333333333333,6.18,44.85,95.7,,85.33333333333333,291634.2833333333,,1.6666666666666856,1743.4666666666672,5.95,77.82621812447307
2004-01-01,302404.3,17114.2,8477.1,95.0,85.33333333333333,6.23,48.45,95.7,,85.33333333333333,293002.76666666666,,1.0,1729.300000000001,5.99,67.69090909090912
2004-02-01,303244.9,17278.433333333334,8458.2,93.0,85.33333333333333,6.11,55.1,95.7,,85.33333333333333,294436.0472222222,,-1.3333333333333144,1585.5666666666657,6.11,63.487878787878806
2004-03-01,304085.5,17442.666666666668,8439.3,91.0,85.33333333333333,6.13,53.45,95.7,,85.33333333333333,295934.125,,-3.6666666666666856,1441.8333333333358,6.18,59.2848484848485
2004-04-01,304926.1,17606.9,8420.4,89.0,85.33333333333333,6.01,46.9,95.7,,85.33333333333333,297497.0,,-6.0,1298.1000000000022,6.23,55.08181818181819
2004-05-01,305186.1333333333,17552.8,8408.8,88.33333333333333,85.33333333333333,5.95,48.5,95.7,,85.33333333333333,298954.4305555556,,-4.666666666666671,975.5333333333328,6.11,50.87878787878789
2004-06-01,305446.1666666667,17498.7,8397.2,87.66666666666667,85.33333333333333,6.08,47.05,95.7,,85.33333333333333,300306.4166666667,,-3.3333333333333286,652.9666666666672,6.13,46.67575757575758
2004-07-01,305706.2,17444.6,8385.6,87.0,85.33333333333333,5.97,51.6,95.7,,85.33333333333333,301552.9583333333,,-2.0,330.3999999999978,6.01,42.47272727272727
2004-08-01,306541.43333333335,17656.333333333332,8480.633333333333,86.33333333333333,85.33333333333333,5.86,58.5,95.7,,85.33333333333333,302663.1666666667,,-2.0,377.8999999999978,5.95,38.269696969696966
2004-09-01,307376.6666666667,17868.066666666666,8575.666666666668,85.66666666666667,85.33333333333333,5.77,52.2,95.7,,85.33333333333333,303637.0416666667,,-2.0,425.3999999999978,6.08,34.066666666666656
2004-10-01,308211.9,18079.8,8670.7,85.0,85.33333333333333,5.73,52.7,95.7,,85.33333333333333,304474.5833333333,,-2.0,472.8999999999978,5.97,29.863636363636346
2004-11-01,309173.63333333336,18272.1,8780.266666666666,91.33333333333331,85.33333333333333,5.63,53.3,95.7,,85.33333333333333,305274.4111111111,,4.999999999999986,719.2999999999993,5.86,25.660606060606042
2004-12-01,310135.36666666664,18464.4,8889.833333333334,97.66666666666669,85.33333333333333,5.54,57.6,95.7,,85.33333333333333,306036.525,,12.000000000000014,965.7000000000008,5.77,21.457575757575732
2005-01-01,311097.1,18656.7,8999.4,104.0,85.33333333333333,5.64,51.7,95.7,,85.33333333333333,306760.925,,19.0,1212.1000000000022,5.73,17.25454545454542
2005-02-01,313041.4333333333,18797.566666666666,9001.233333333334,102.0,85.33333333333333,5.63,54.6,95.7,,85.33333333333333,307577.30277777783,,10.666666666666686,1141.2333333333336,5.63,21.015151515151487
2005-03-01,314985.76666666666,18938.43333333333,9003.066666666666,100.0,85.33333333333333,5.65,61.75,95.7,,85.33333333333333,308485.6583333334,,2.3333333333333144,1070.366666666665,5.54,24.775757575757552
2005-04-01,316930.1,19079.3,9004.9,98.0,85.33333333333333,5.66,59.1,95.7,,85.33333333333333,309485.99166666664,,-6.0,999.5,5.64,28.53636363636362
