"가정별","성별","연령별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","5 - 9세",1733443,1864580,1983775,2125558,2260781,2360217,2428011,2477814,2493776,2460340,2400902,2351739,2317049,2289895,2289501,2319163,2357566,2395908,2408848,2383807,2314435,2229556,2153742,2096080,2060357,2046870,2073931,2109423,2123004,2078155,1991341,1892414,1790092,1711765,1671042,1664291,1689685,1736754,1792374,1842718,1877208,1881924,1858210,1808293,1752569,1698879,1641923,1556291,1468935,1393600,1300568,1214418,1180798,1179593,1163582,1161732,1183575,1188607,1176909,1169113,1168681,1143757,1097221,1039269,981805,906030,826640,760939,707080,659636,620392,591346,575885,572889,582186,601482,624199,644174,661092,674812,685459,693405,699213,701315,698391,691501,681493,668962,656461,646019,636986,628592,620019,610491,599391,586314,571128,553977,535253,515534,495533,476007,457687,441207,427068,415589,406901,400950,397517,396252,396711,398399,400814
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","10 - 14세",1358903,1402613,1448949,1492698,1579817,1714064,1845446,1963670,2105819,2245241,2349947,2396532,2451025,2460133,2429491,2384577,2342590,2302362,2269220,2273652,2305805,2342517,2378037,2386003,2366607,2316422,2243103,2163735,2088582,2043883,2029056,2052888,2082673,2090973,2055540,1978698,1899255,1793390,1711884,1662899,1651269,1671109,1714089,1767832,1813909,1844524,1853437,1826108,1779836,1729504,1682748,1630159,1550478,1464013,1389826,1294946,1209141,1173575,1172580,1157242,1161061,1183139,1189663,1176998,1167483,1164900,1138230,1094074,1036505,979031,903678,824719,759398,705847,658668,619656,590786,575418,572432,581677,600880,623487,643361,660191,673840,684434,692339,698119,700209,697302,690459,680510,668046,655611,645226,636242,627897,619374,609899,598859,585853,570750,553691,535069,515457,495564,476144,457920,441529,427467,416049,407409,401491
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","15 - 19세",1248858,1240278,1255899,1290756,1309266,1336648,1380929,1428209,1471923,1556114,1688217,1809311,1926265,2046212,2157237,2240011,2301340,2350952,2384182,2378013,2343977,2286198,2242817,2226838,2240935,2272313,2308439,2342692,2358183,2341468,2289382,2215342,2134720,2062442,2017721,2010189,2030805,2070863,2088473,2062556,1987021,1876518,1765454,1680219,1630004,1621106,1637309,1683355,1740377,1788329,1821378,1842937,1821485,1779769,1728466,1684718,1632747,1554471,1470638,1397832,1307326,1216428,1183580,1188393,1171771,1167856,1187673,1194359,1181519,1171897,1169384,1142857,1098895,1041593,984416,909424,830862,765890,712625,665691,626885,598183,582928,579990,589219,608356,630873,650659,667414,681006,691554,699427,705182,707263,704363,697550,687646,675240,662865,652534,643597,635295,626812,617381,606389,593440,578402,561419,542878,523352,503547,484213,466071
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","20 - 24세",1171363,1188724,1204229,1204791,1217465,1224348,1216523,1233220,1268677,1288141,1314867,1349350,1397225,1421584,1468221,1570423,1711349,1814081,1903754,1992601,2078090,2180617,2235847,2244086,2218868,2185328,2179523,2161770,2144822,2160951,2237534,2282016,2319533,2331611,2310177,2259595,2194125,2111495,2034268,1992175,1989852,2025970,2066245,2087878,2056353,1969021,1874314,1772836,1695754,1658347,1654707,1678222,1734689,1794501,1844096,1877884,1903218,1882066,1860305,1823024,1779560,1711404,1620461,1548436,1486372,1390474,1303354,1268442,1263926,1243827,1240140,1259763,1266446,1253874,1244346,1241638,1215162,1171519,1114455,1057381,982659,904635,840228,787436,740904,702419,673963,658941,656237,665636,684794,707214,726872,743512,757003,767465,775274,780983,783035,780116,773281,763377,751022,738737,728498,719636,711396,702966,693580,682634,669740,654762,637852
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","25 - 29세",960543,1017695,1065655,1107810,1134420,1145871,1163475,1182153,1185423,1199511,1207106,1193169,1194881,1223388,1257320,1289827,1317288,1354062,1407774,1485232,1584377,1692645,1790014,1893189,1992653,2092942,2140451,2184804,2215868,2215298,2222615,2189388,2165343,2159527,2177475,2210162,2222172,2258208,2261150,2252178,2232158,2179040,2098801,2036930,1992129,1981697,2024586,2073207,2096715,2071602,1989754,1909497,1808875,1734720,1714497,1730403,1739228,1791765,1868033,1924269,1949923,1962374,1933726,1915057,1878599,1841645,1792831,1715998,1630727,1558462,1462990,1375902,1340900,1336168,1315841,1312243,1332072,1338814,1326198,1316875,1314598,1288363,1244920,1188266,1131748,1057456,979575,915175,862384,815861,777406,748958,733821,730888,740049,759069,781458,801131,817798,831324,841829,849679,855423,857523,854687,847966,838171,825876,813608,803372,794518,786294,777892
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","30 - 34세",738376,765035,793285,836659,882373,935819,992511,1042065,1086199,1115419,1129990,1148290,1166998,1162405,1154727,1137048,1140414,1169762,1215645,1270576,1320116,1353919,1398963,1460106,1540638,1626661,1726765,1810698,1921027,2023780,2123583,2187801,2232004,2247695,2234505,2204571,2187039,2172352,2148305,2150092,2176913,2213068,2255001,2285705,2279293,2240142,2180616,2109088,2045263,1992214,2000527,2049481,2094985,2111042,2096735,2015092,1922760,1825165,1764834,1743237,1745712,1745107,1796779,1883794,1938196,1969945,1996598,1976227,1940894,1897043,1860277,1811583,1734624,1649105,1576669,1481047,1393766,1358676,1354046,1333796,1330182,1350130,1357035,1344490,1335131,1332851,1306627,1263046,1206143,1149343,1074767,996582,931905,878887,832168,793541,764973,749798,746896,756135,775265,797782,817580,834353,847972,858552,866463,872261,874394,871556,864811,854976,842634
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","35 - 39세",682686,676712,679243,680161,698422,714200,741232,771926,817300,864561,920441,971765,1020101,1066617,1100456,1123445,1144977,1166571,1177062,1174643,1168846,1170953,1192121,1232128,1282221,1314595,1341391,1383009,1406584,1453648,1562784,1679109,1787559,1900657,2009543,2095913,2148707,2198346,2210902,2199114,2180572,2166558,2153573,2142489,2166489,2184835,2228330,2273836,2309682,2289453,2252710,2181088,2101052,2028863,1982864,2004556,2044466,2089929,2114600,2095902,1999740,1907424,1808706,1750443,1731341,1744455,1757521,1812587,1878096,1925620,1957721,1984633,1964550,1929436,1885768,1849160,1800636,1723814,1638375,1566000,1470477,1383248,1348176,1343620,1323474,1319914,1339935,1346952,1334502,1325189,1322948,1296784,1253220,1196294,1139448,1064824,986569,921814,868732,821959,783285,754684,739498,736612,745886,765067,787647,807511,824343,838016,848642,856595,862429
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","40 - 44세",570525,584734,603816,627309,642039,652785,648791,653268,656236,676632,695800,718462,743874,781933,828202,887724,949159,1002288,1047568,1083740,1110891,1137936,1163656,1172788,1168830,1165918,1165761,1176211,1201983,1241917,1268797,1301987,1332496,1366473,1426899,1527547,1641684,1742628,1853383,1964249,2045158,2113646,2169132,2201473,2192667,2165148,2139138,2130204,2117845,2164790,2192383,2240870,2279295,2305325,2286346,2248961,2160777,2083256,2021308,1970422,1979773,2020470,2067075,2087030,2069513,1986113,1902383,1808708,1739757,1716248,1729692,1743081,1798310,1863987,1911735,1944070,1971204,1951455,1916627,1873224,1836849,1788569,1711992,1626759,1554540,1459209,1372105,1337075,1332594,1312568,1309078,1329174,1336314,1323982,1314743,1312583,1286521,1243021,1186132,1129291,1054675,976394,911590,858470,811667,772967,744345,729152,726273,735571,754794,777434,797363
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","45 - 49세",485198,496049,504656,510900,522679,535956,551738,572071,598864,614673,623917,626273,622886,623922,635119,650006,670994,704404,747213,797311,859667,919177,965593,1007134,1043789,1073822,1099493,1123269,1132978,1127174,1100340,1095429,1107613,1140436,1184655,1225938,1266396,1301587,1330322,1383436,1483122,1598458,1697943,1812161,1924199,2000124,2089417,2142938,2196142,2184842,2166821,2133627,2124531,2089888,2169125,2199587,2241597,2278705,2308830,2280977,2225868,2138197,2061862,1995415,1947890,1968894,2013504,2063068,2081918,2061835,1979393,1896422,1803493,1735080,1711916,1725612,1739327,1794736,1860626,1908678,1941339,1968765,1949439,1914967,1871880,1835776,1787784,1711480,1626467,1554397,1459249,1372248,1337234,1332832,1312960,1309561,1329760,1337059,1324874,1315722,1313654,1287710,1244271,1187407,1130553,1055918,977569,912671,859472,812606,773852,745189,729974
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","50 - 54세",408634,418520,432218,439228,436407,443633,456513,466761,472555,482998,504235,514448,528379,550741,569661,580476,584284,585688,587255,594640,607140,630060,666215,710345,760825,814133,863615,911411,957429,997839,1001442,1024861,1049469,1058595,1053212,1045400,1040241,1060928,1099849,1149801,1194103,1224816,1261221,1292202,1341081,1436212,1554676,1648729,1770211,1887016,1972536,2085550,2136013,2190098,2180821,2165419,2112259,2107628,2075419,2159754,2177535,2221205,2258061,2281401,2252613,2207838,2123780,2051380,1988040,1938731,1960386,2005496,2055509,2074964,2055631,1974299,1892285,1800347,1732681,1710009,1724066,1738224,1793874,1860050,1908491,1941561,1969365,1950588,1916588,1873923,1838174,1790567,1714645,1629942,1558102,1463254,1376452,1341507,1337232,1317570,1314297,1334628,1342131,1330149,1321124,1319175,1293393,1250056,1193242,1136385,1061750,983347,918360
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","55 - 59세",289392,292521,298221,316997,341962,358167,370877,382888,391433,395092,403184,416503,413697,413557,421197,435319,452778,473166,498041,518057,528205,529106,530231,535138,546814,564617,586187,618856,657283,698631,739200,788855,832888,873455,907157,932110,947145,970309,980344,979909,981156,990089,1012176,1047715,1095353,1136993,1174921,1212829,1251007,1297637,1397202,1519137,1608745,1719950,1841582,1932408,2054239,2102223,2164174,2147149,2121562,2068337,2068112,2034448,2117431,2142637,2188632,2227167,2252857,2223514,2180559,2098765,2028252,1966668,1918930,1941301,1986938,2037425,2057586,2039197,1959359,1878693,1788170,1721609,1699657,1714199,1728930,1784855,1851303,1900136,1933624,1961813,1943710,1910347,1868279,1833061,1786023,1710673,1626465,1555020,1460680,1374280,1339520,1335455,1316099,1313006,1333496,1341260,1329554,1320705,1318919,1293369,1250206
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","60 - 64세",230431,239434,241992,237584,237198,236043,242419,248040,263762,287157,299491,312145,313400,317671,317665,320952,336620,349839,359231,369793,382208,391953,405033,421952,437544,449283,456346,460271,465153,475876,493103,515094,545528,581164,622405,670698,719920,763853,799938,828732,852303,875583,901451,920359,923453,928692,930455,951179,986275,1035802,1083119,1126838,1164089,1195750,1243960,1345931,1466124,1554982,1668124,1787518,1876783,1999375,2042614,2101922,2082774,2062168,2015600,2017632,1987872,2068825,2095621,2142545,2181994,2208753,2181721,2140944,2062026,1993984,1934698,1889029,1912337,1958591,2009613,2030649,2013464,1935590,1856760,1768138,1703052,1682031,1697133,1712495,1768674,1835368,1884616,1918597,1947251,1929987,1897447,1856177,1821682,1775428,1700901,1617460,1546656,1453080,1367316,1332895,1329124,1310175,1307337,1328025,1336085
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","65 - 69세",141661,141887,148284,158662,160834,174264,184531,188260,185683,186153,178840,196448,188800,197881,214018,225695,233858,243781,251992,256937,263454,271107,279657,287396,294903,303471,314236,328403,346607,367064,375468,379487,384640,393008,406538,424965,449576,477897,512154,551423,595086,637330,676884,711353,740526,764040,788456,822884,855346,861451,871002,863928,883241,908072,958234,1009632,1059400,1098706,1132243,1177211,1280138,1394231,1478069,1584823,1700794,1787365,1908010,1952534,2013313,1996070,1978807,1936757,1940864,1914703,1995240,2023603,2071435,2111774,2139662,2115526,2077570,2002416,1937678,1881510,1838655,1863239,1910236,1961797,1983747,1967920,1892490,1816092,1730115,1667187,1647545,1663427,1679608,1736045,1802858,1852420,1886870,1915980,1899747,1868346,1828216,1794759,1749638,1676342,1594088,1524299,1431960,1347321,1313530
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","70 - 74세",80707,84914,86420,85583,91624,96350,101220,106623,114381,117573,139249,136981,130081,123544,117351,121921,128280,133976,142897,154087,162400,168560,175629,181807,188216,197029,201682,208766,215339,222274,234292,242700,254547,269882,285254,297065,305777,313712,323974,337200,353411,371625,396315,425721,457420,494667,534440,571360,604560,637772,664268,689761,733285,775208,783053,796175,780645,800334,825893,876494,928928,975339,1012668,1045428,1087769,1185734,1294560,1376471,1479793,1590428,1675366,1792141,1836543,1896799,1882663,1869368,1833034,1839588,1818020,1897577,1927638,1976294,2017377,2046380,2025917,1991612,1921607,1861429,1809564,1770538,1796561,1844047,1895804,1918632,1904542,1832739,1760071,1678141,1618449,1600752,1617582,1634755,1691285,1757884,1807556,1842375,1871846,1857010,1827293,1788895,1757053,1713730,1642446
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","75 - 79세",45335,47111,49893,51682,53175,55662,57915,56172,53518,54878,56261,60229,58837,60479,62222,68485,71525,73696,72632,71238,73846,76421,83840,89588,96046,103369,105534,109645,115578,119565,132365,140919,146260,149838,154503,162677,171472,181842,192944,204497,215420,224127,232732,241516,252637,265655,281091,301667,326089,353244,386793,422066,454917,485151,518840,546349,573514,620799,663906,672113,685809,675869,696606,722713,768879,816937,857801,896044,930457,971590,1063624,1163525,1240661,1336884,1439376,1520904,1630904,1673737,1732040,1721137,1712838,1684391,1693680,1678484,1755670,1787369,1836375,1877423,1906931,1891191,1861346,1798475,1744735,1699158,1666003,1694098,1741921,1793417,1816803,1804505,1737978,1671084,1595708,1541339,1526776,1544868,1563326,1619532,1685166,1734400,1769262,1798788,1786042
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80세이상",21092,22897,23655,25003,26244,27086,28386,29398,31890,32989,33767,34701,34814,35983,36299,37196,37747,38882,41054,43676,44868,44989,46448,48339,51674,53778,56819,60044,63424,66977,79732,83735,87926,92281,96841,101634,115106,121101,125965,130272,135869,146152,158316,170466,183498,196454,209355,222509,236572,254016,271770,288632,310273,335074,363446,396492,438712,482218,524710,576516,626047,677488,737256,793265,829873,870938,893336,958590,1023165,1082203,1144489,1184767,1259699,1330663,1402652,1521232,1626839,1742049,1869415,2002047,2155866,2321445,2434414,2570664,2648835,2747761,2838853,2916408,2993203,3101304,3187364,3283243,3361409,3430611,3489446,3517711,3527406,3532085,3538534,3549390,3591346,3636471,3681892,3704626,3700054,3675503,3655415,3629665,3603923,3591320,3591877,3597949,3634730
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95912,102574,110728,119483,128928,137401,144246,150705,157822,167548,178050,189129,204670,222240,241136,266996,299295,328523,355506,387167,412934,438090,476263,510831,518803,531274,524559,548322,575242,614795,655862,687998,723126,754889,791760,872733,956862,1024437,1107398,1195011,1269016,1365896,1403862,1456926,1449276,1447410,1430227,1442176,1435689,1506670,1538666,1585814,1624485,1652829,1643836,1620651,1569428,1526231,1490850,1466989,1497394,1544174,1593368,1616174,1606014,1548599,1492065,1428791,1384158,1374921,1394534,1414603,1469152
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31792,34821,38111,40967,43798,46981,51536,56685,61896,67954,72981,76453,79849,83433,90390,96002,104270,115958,128236,143004,162714,184329,201240,217654,238467,256289,274135,303962,329987,336056,345016,340707,361388,383895,412447,442065,462419,490387,515690,544103,605934,666085,716999,778371,842304,900876,974713,1002876,1044593,1039451,1042995,1037628,1050129,1052363,1110003,1138850,1179264,1211120,1234632,1232564,1217476,1182513,1153922,1132554,1121030,1151516,1192949,1235057,1254502,1246566,1203605,1163470,1119392
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7115,7634,8266,8674,9341,10493,11788,13145,14740,16099,17855,19834,22157,25415,27414,28260,29319,30906,32865,37779,41611,45872,50323,54970,61639,71431,81638,91409,100949,111848,120909,130095,145902,159341,162045,166625,164251,177991,192193,207624,223631,232557,249743,265118,281713,318188,350585,379735,414161,449384,484911,527776,542548,567500,563982,569653,572077,581574,587845,624271,644078,670882,690661,705404,707685,700153,682386,668997,661147,660065,684538,713730,741977
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,966,1026,1092,1205,1287,1411,1607,1784,1908,2178,2615,2917,3268,3632,4108,4790,5352,6289,7505,7776,7927,8158,8291,8601,9811,10842,11940,13732,15666,17961,21013,24117,27126,30049,33511,36407,39397,44812,49214,49773,51227,50301,56175,61825,67068,72528,74720,81619,87561,93697,107705,118733,129354,141740,154204,168191,184306,188666,198254,196173,199849,203001,207349,211709,226966,235514,246956,254725,260581,262847,260265,254523,250925
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,97,119,137,144,168,178,190,206,237,269,299,329,354,398,444,476,542,598,790,861,1039,1139,1209,1153,1102,1064,1165,1321,1543,1689,1850,2157,2489,2889,3402,3910,4422,4920,5536,6058,6606,7635,8424,8474,8759,8608,10002,11199,12102,13087,13292,14893,16179,17421,20366,22331,24494,26953,29393,32549,35901,36592,38785,38359,39721,41059,42095,43535,46921,48935,51623,53284
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","계",12461683,12829090,13192047,13553627,13902205,14251843,14605710,14925590,15262204,15603301,15932220,16233820,16549968,16868272,17178043,17514897,17790020,18062379,18331931,18604875,18888039,19187568,19488960,19781283,20030781,20230144,20441677,20661710,20876021,21091649,21301102,21511790,21734307,21952074,22169044,22387662,22600169,22805488,22990776,23158840,23341342,23515193,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25727369,25816116,25910542,25898598,25853883,25852731,25874289,25846661,25814069,25781367,25748028,25713793,25678440,25641290,25601388,25558277,25511168,25459331,25402334,25340209,25271020,25192387,25104567,25007260,24900431,24784126,24657912,24521212,24373323,24213904,24042475,23858969,23663658,23457140,23239202,23009312,22768888,22519827,22263736,22001267,21733154,21461503,21187773,20912876,20637676,20363136,20090369,19819930,19551991,19286990,19025249,18766724,18511667,18260527,18013264
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","0 - 4세",2207268,2276565,2323482,2338441,2310458,2269201,2243390,2219142,2202652,2198556,2185784,2207043,2228379,2236381,2233746,2167499,2102367,2032844,1984224,1943823,1946316,1965926,1982810,1983512,1928889,1850484,1756018,1662889,1589371,1554953,1516056,1526977,1555810,1590381,1624254,1651828,1663666,1651248,1623310,1582587,1543635,1503900,1432527,1354562,1290396,1209243,1132710,1106072,1110359,1098912,1098975,1121917,1130292,1121025,1115412,1114488,1091563,1048855,993553,940411,865365,788033,727814,676677,632988,595836,568470,553321,550381,559346,577900,599766,619015,635313,648527,658780,666430,672019,674037,671212,664565,654915,642842,630792,620717,612000,603899,595625,586434,575728,563121,548484,531955,513905,494901,475623,456804,439147,423264,409633,398565,390186,384444,381127,379902,380338,381960,384285,386861,389296,391270,392558,393012
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","5 - 9세",1617090,1736162,1846082,1975048,2097314,2189802,2258024,2305798,2319092,2285579,2228980,2173132,2140397,2123629,2133086,2158996,2183011,2215771,2217987,2200879,2143991,2087082,2014610,1960725,1930173,1920797,1943319,1973804,1986263,1943648,1852140,1752238,1650813,1569336,1520622,1502462,1498797,1533243,1574956,1616434,1644256,1651084,1636050,1608093,1568853,1534686,1494147,1420331,1340216,1277896,1197359,1121978,1096153,1100229,1088920,1089368,1113571,1120380,1112018,1107062,1109604,1088040,1044863,988475,933128,860959,784818,723809,674037,630268,593529,566469,551488,548596,557502,575909,597585,616647,632787,645873,656028,663605,669141,671138,668341,661761,652204,640243,628310,618339,609712,601695,593505,584405,573806,561321,546826,530455,512582,493761,474673,456037,438556,422830,409335,398379,390086,384404,381125,379915,380352,381961,384266
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","10 - 14세",1287335,1332220,1369542,1401890,1480024,1602738,1721844,1830214,1959385,2085023,2181361,2223105,2274496,2280415,2248711,2210608,2171562,2136224,2112864,2121796,2152817,2189989,2227852,2238445,2221479,2174920,2104741,2029553,1958843,1917603,1897852,1922314,1951674,1959321,1922959,1845673,1756467,1645640,1559495,1501670,1478713,1485477,1517638,1557566,1595626,1620883,1630271,1613410,1588438,1554630,1526961,1489332,1418881,1339075,1276349,1193740,1118166,1090502,1094811,1084319,1089908,1114575,1122176,1112763,1106168,1106767,1083494,1042650,986856,931476,859681,783922,723247,673742,630207,593671,566765,551866,548983,557844,576170,597749,616717,632780,645804,655908,663449,668958,670943,668163,661621,652118,640215,628341,618423,609844,601869,593719,584666,574122,561700,547280,530992,513211,494485,475494,456953,439559,423912,410486,399585,391334,385683
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","15 - 19세",1169586,1145417,1150735,1189724,1229662,1271430,1316598,1354475,1386459,1460520,1581139,1690605,1797182,1913894,2017314,2094258,2153668,2195834,2219836,2209512,2175712,2125736,2088285,2077982,2098219,2135464,2173491,2207280,2223167,2209053,2152632,2081699,2004038,1934137,1891953,1886759,1922711,1960903,1972151,1936599,1855411,1739011,1625789,1536701,1478831,1458955,1465976,1500646,1541647,1580489,1607415,1625599,1614091,1593281,1561263,1537550,1499457,1427984,1349367,1288144,1210892,1129458,1104293,1112684,1101072,1099151,1121555,1129388,1119803,1113135,1113771,1090518,1049847,994307,939247,867744,792369,732108,682939,639677,603381,576666,561904,559102,567988,586280,607772,626632,642602,655549,665593,673083,678556,680519,677735,671213,661747,649896,638086,628232,619708,611782,603677,594669,584176,571812,557458,541248,523554,504921,486026,467583,450284
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","20 - 24세",1151342,1175745,1192695,1187173,1174094,1151445,1128542,1134440,1173580,1214175,1254177,1291625,1332263,1358803,1406296,1503991,1625176,1730467,1840020,1943918,2015317,2083708,2134522,2149399,2128638,2089009,2066122,2046142,2032746,2047375,2104873,2147005,2184965,2199686,2180962,2132031,2053328,1966071,1903816,1861266,1864530,1907265,1945084,1957691,1914220,1819759,1712887,1607722,1531096,1494654,1484342,1497451,1534260,1576405,1613309,1634084,1656631,1647591,1637892,1616028,1612791,1566923,1484776,1405228,1352417,1269821,1191297,1162838,1162442,1145942,1143986,1166426,1174137,1164490,1157818,1158747,1135941,1095789,1041156,987299,917206,843194,784048,735775,693269,657639,631487,617081,614332,623013,640956,662071,680597,696284,709004,718876,726244,731630,733548,730794,724401,715135,703512,691915,682237,673865,666078,658116,649263,638951,626805,612704,596782
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","25 - 29세",972537,1010896,1051348,1090826,1114300,1132998,1155506,1170449,1164303,1151340,1128863,1104590,1115073,1155037,1200895,1245439,1271119,1293901,1319532,1377009,1488420,1607206,1709435,1820376,1924720,2004949,2065715,2106788,2130915,2127003,2104134,2074617,2051475,2044119,2059594,2090548,2122321,2166011,2179897,2166175,2120755,2045556,1965788,1904500,1861144,1862130,1902550,1945164,1959552,1929488,1844351,1755305,1655989,1580535,1544633,1539051,1540583,1576396,1625029,1663507,1695619,1712828,1695058,1679660,1655044,1634824,1600140,1530888,1453148,1393330,1310402,1231580,1202779,1202312,1186147,1184332,1206636,1214480,1205053,1198465,1199212,1176252,1136017,1081056,1026599,955863,881260,821605,772930,730099,694168,667733,653140,650378,659186,677316,698626,717332,733176,746026,756000,763447,768890,770852,768108,761661,752297,740571,728881,719124,710684,702837,694814
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","30 - 34세",817952,844596,874853,900861,927427,961857,1001834,1038291,1071601,1091533,1107757,1120701,1139037,1134064,1122787,1108634,1096220,1108456,1140313,1175924,1205098,1241977,1283330,1327562,1396598,1462611,1617868,1718664,1835282,1942221,2011119,2071235,2113010,2129033,2118539,2092150,2070461,2039837,2013992,2031533,2071079,2119019,2166319,2187307,2171339,2120294,2045655,1969823,1909544,1864224,1877257,1917946,1963703,1975213,1948719,1856510,1765495,1666377,1595783,1563225,1562091,1561344,1593655,1640746,1677571,1700142,1720458,1708959,1691835,1662224,1642320,1607878,1538807,1461190,1401442,1318577,1239807,1211034,1210606,1194501,1192734,1215085,1222983,1213616,1207067,1207843,1184912,1144685,1089717,1035230,964456,889809,830107,781393,738532,702576,676123,661524,658771,667600,685761,707107,725848,741724,754600,764597,772061,777521,779496,776759,770313,760949,749214
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","35 - 39세",687439,701573,713916,730953,762919,789027,817072,852822,884874,912899,946541,976799,1008968,1041692,1065566,1085681,1106066,1126875,1133578,1125482,1110719,1098311,1105974,1137114,1180667,1237597,1222938,1264675,1296670,1352324,1479545,1594562,1701514,1811408,1915369,1996138,2055375,2114453,2147046,2125831,2092507,2062407,2033933,2012361,2049533,2082502,2133591,2175204,2200297,2177509,2134326,2060239,1986641,1920853,1871522,1887544,1920219,1964371,1981010,1955867,1867239,1775602,1673805,1599400,1565915,1561026,1563003,1599017,1641430,1673441,1696247,1716741,1705462,1688540,1659105,1639342,1605069,1536190,1458746,1399160,1316516,1237964,1209327,1209005,1193006,1191282,1213641,1221582,1212277,1205758,1206547,1183671,1143510,1088602,1034171,963486,888954,829354,780725,737934,702035,675628,661075,658362,667214,685381,706723,725459,741332,754206,764204,771672,777137
