"가정별","성별","연령별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","45 - 49세",979930,1001234,1018295,1028448,1042490,1067093,1098163,1139852,1197933,1239082,1271554,1288932,1295548,1314772,1352755,1398399,1448885,1512900,1583123,1659875,1756088,1851271,1928379,2001786,2066471,2119340,2166942,2211518,2230327,2219245,2166709,2155466,2180285,2246633,2335451,2418904,2478292,2553587,2613214,2716095,2921443,3160621,3346133,3569142,3802111,3958097,4139484,4248784,4354664,4321262,4271709,4191090,4173386,4125313,4295086,4354036,4441770,4506942,4553179,4487622,4385732,4213912,4061992,3926944,3828741,3865770,3944572,4041970,4074072,4026680,3855874,3685334,3495431,3350483,3290592,3299778,3315837,3407450,3515960,3596314,3652105,3700344,3670128,3619034,3546827,3491221,3409227,3264354,3102163,2970673,2793071,2627593,2563903,2559191,2523407,2518360,2561014,2576401,2555032,2539456,2538304,2489625,2406111,2294413,2183169,2037876,1884934,1760335,1658426,1568709,1494005,1438893,1409087
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","50 - 54세",845256,862029,886427,899002,897329,909012,933841,955066,964239,978427,1017150,1041058,1071643,1122447,1169097,1202947,1224803,1243071,1261600,1289291,1324926,1376616,1444187,1517874,1600217,1686760,1772028,1852866,1927566,1994986,2021714,2066185,2111226,2126067,2111389,2090711,2074866,2103395,2173953,2270251,2365862,2427537,2505591,2568222,2664066,2861891,3106401,3287112,3524016,3761143,3934363,4163908,4263019,4364665,4334785,4289039,4170297,4163840,4122273,4297890,4338269,4425748,4489552,4525612,4459873,4367799,4202152,4057446,3927373,3825551,3863600,3943291,4041468,4074563,4028272,3858952,3689608,3500954,3356933,3297665,3307358,3324058,3416096,3525134,3606128,3662547,3711352,3681895,3631410,3559738,3504568,3423065,3278633,3116718,2985395,2808075,2642732,2579046,2574503,2539026,2534154,2577016,2592728,2571644,2556230,2555235,2506760,2423328,2311605,2200240,2054811,1901647,1776790
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","55 - 59세",628974,630604,640591,677339,726011,756811,778738,802670,821228,830540,846448,874484,872562,874616,890487,919381,951865,993395,1047164,1097369,1130835,1144240,1159080,1181647,1215411,1258578,1306470,1369732,1441506,1516598,1589504,1674389,1749203,1820265,1881895,1927926,1961234,2011322,2029040,2016474,2006389,2008937,2041047,2105442,2196938,2285610,2363424,2441497,2518813,2611705,2817315,3065255,3241925,3457310,3699016,3884217,4134915,4225899,4340508,4295393,4237067,4113626,4113957,4070751,4246026,4292571,4384454,4451091,4489822,4421800,4332354,4169855,4027734,3900082,3800410,3839460,3919958,4018833,4052964,4007998,3840689,3673112,3486328,3343769,3285465,3295833,3313322,3405784,3515269,3596845,3653864,3703231,3674678,3625003,3554085,3499572,3418803,3275101,3113776,2982905,2806189,2641293,2577794,2573523,2538456,2533818,2576904,2592992,2572286,2557098,2556314,2508141,2424908
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","60 - 64세",518465,535842,538118,525579,521670,530387,539542,552756,586162,634557,658773,684845,689332,698262,698520,709170,744604,773967,793066,811766,835876,860174,893176,935774,977601,1010305,1035168,1055954,1079622,1111801,1156731,1205934,1267444,1332971,1404302,1488523,1587609,1659101,1724288,1779701,1817056,1859995,1915420,1950647,1946812,1946175,1933740,1963549,2024598,2117041,2212040,2302960,2377804,2443552,2541221,2750831,2994342,3170368,3389068,3627949,3814370,4064749,4148113,4258205,4211091,4155466,4042638,4045830,4005606,4176009,4224945,4318208,4386286,4426675,4361898,4275411,4116744,3977890,3853314,3756412,3796745,3878169,3977826,4013231,3969950,3805278,3640103,3455800,3315163,3258086,3269232,3287599,3380469,3490353,3572518,3630215,3680231,3652793,3604184,3534309,3480713,3400948,3258299,3097922,2967816,2792046,2627924,2564822,2560927,2526394,2522082,2565438,2581940
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","65 - 69세",345675,344564,360707,386169,390534,403947,425836,434477,428329,428822,428725,467031,455436,476567,511455,538406,557018,577862,596346,608411,623957,640668,658652,674263,690739,712208,739370,774362,816658,866053,900851,919104,938875,965304,1002718,1048214,1100172,1164709,1229902,1298093,1381212,1461093,1528114,1592234,1649747,1689609,1734658,1804867,1866427,1870279,1878314,1846336,1874691,1914508,2005729,2105631,2210004,2286519,2356588,2448622,2662232,2894911,3063850,3274183,3509250,3688605,3937463,4022461,4133555,4087901,4037170,3930899,3937019,3901597,4071468,4122684,4217182,4286567,4328644,4267926,4185290,4031714,3897301,3776974,3683916,3726013,3808525,3908907,3945577,3904139,3742776,3580873,3400137,3262390,3207168,3219397,3238897,3332207,3442371,3525040,3583398,3634049,3607969,3560809,3492390,3440097,3361789,3220742,3061895,2933062,2758865,2596179,2533871
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","70 - 74세",210394,224438,227011,223091,235616,245292,260200,257088,268120,278900,311808,321793,318364,316993,310619,335061,345540,357675,378315,405381,425995,441394,459713,475169,489218,506353,517741,535655,553867,570640,598852,619032,649470,690656,733184,766793,788665,813599,842637,881165,922213,963947,1023257,1081502,1140499,1214841,1294801,1362205,1426335,1492503,1539637,1587018,1674052,1754449,1763752,1779544,1729122,1756800,1795390,1886106,1990347,2090525,2164766,2234677,2322783,2527085,2753018,2919238,3124245,3351004,3528324,3771898,3856948,3967616,3926557,3881887,3784214,3793806,3764596,3933014,3986827,4082534,4153130,4197060,4141760,4064258,3917834,3789703,3675420,3587793,3632046,3715507,3816288,3854259,3815237,3658909,3502176,3327098,3193920,3141519,3155198,3176160,3269768,3379832,3462780,3521712,3572948,3548804,3503875,3437747,3387545,3311620,3173298
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","75 - 79세",111199,116485,126531,134787,143397,151950,157264,150598,145121,145016,149850,162497,164326,172242,181623,205140,215892,223076,223042,221813,227859,235639,254134,270403,288285,308108,317362,328409,341072,353200,393129,411385,425260,432880,441816,459426,484221,509498,540375,576492,608084,629856,654403,678767,713772,751853,791754,844714,898014,954171,1025532,1101326,1167399,1228474,1298398,1350503,1400166,1494315,1579149,1589635,1608464,1567444,1596539,1637098,1723662,1820534,1912336,1988025,2059642,2145482,2341230,2553812,2713279,2908241,3123040,3295733,3529347,3612136,3720121,3684090,3647845,3563245,3577170,3557089,3721878,3778423,3874576,3945280,3990377,3942601,3871945,3736347,3617899,3513217,3434517,3482062,3566340,3666690,3705545,3669263,3520848,3372684,3207448,3082418,3034977,3050888,3074045,3167664,3276827,3359465,3418616,3470115,3449036
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80세이상",59182,65394,68467,72121,75588,79894,83334,85761,91367,95805,100925,103202,106532,111452,116813,138840,143663,150745,159459,169337,178222,180478,186916,194699,205373,215180,226263,238002,250263,263092,302252,316920,332251,348153,364774,382219,421824,441505,456139,467826,483387,516029,551171,587361,626285,664484,704601,748890,797816,859933,922626,980499,1050587,1125228,1209247,1305490,1417791,1528426,1634958,1764631,1890824,2016985,2155978,2289858,2382540,2477683,2522199,2667343,2807907,2936935,3073495,3161051,3325288,3482404,3642320,3907917,4143340,4398893,4678492,4976979,5331351,5710019,5964917,6261283,6439563,6666413,6868319,7045122,7227939,7472140,7661086,7866016,8026726,8172480,8292820,8345100,8357303,8350323,8349002,8355098,8422448,8491524,8562264,8585389,8549121,8468876,8394914,8310959,8223952,8157403,8112309,8083376,8114530
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310114,329611,350265,375966,404920,429246,448312,470006,492598,528386,565597,599815,643644,687406,733018,793916,867222,930279,987409,1055839,1109242,1157812,1238755,1311746,1322888,1338962,1305676,1343140,1387561,1465132,1551816,1628432,1700342,1768443,1848045,2026780,2213886,2358541,2533024,2724128,2885798,3098927,3174324,3274550,3244378,3220461,3156498,3175184,3168324,3322974,3380958,3474671,3542613,3587253,3551490,3491781,3374834,3272988,3185068,3121919,3173940,3257485,3354382,3392824,3360385,3226890,3095500,2949986,2841142,2803012,2822291,2848758,2941057
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128397,138867,150508,158543,165287,173940,188510,203971,224477,244803,261945,275332,290468,305257,335355,363551,391295,425167,458588,497418,548700,605532,646358,685925,737630,778346,817041,886264,946008,955427,967698,942066,979181,1020938,1082263,1150235,1203395,1264623,1322381,1387901,1534189,1678439,1794877,1932673,2082158,2218443,2391411,2449812,2531353,2506794,2497138,2460587,2482313,2490578,2621932,2676459,2759264,2816850,2855810,2835518,2791248,2703440,2627539,2566114,2526926,2581796,2659016,2744884,2779004,2751468,2644041,2542067,2431429
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37139,39163,41466,43367,46025,50264,56026,62191,67293,71866,77964,86046,95044,109626,116393,120958,128909,138080,147576,168248,187321,203889,218926,235791,258561,289611,322117,351115,377656,408626,432609,455623,497877,533247,537883,544495,527781,557282,588413,626524,668422,695156,737563,776914,819836,916474,1003442,1077440,1162933,1254659,1347222,1459243,1492302,1544207,1525853,1527957,1516951,1535590,1552275,1642766,1683681,1742369,1780060,1806888,1801217,1774851,1723423,1679961,1649730,1636074,1684582,1743642,1805570
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6758,7294,7704,8184,8700,9516,10113,10958,11541,12800,14866,16966,18920,20321,21645,23923,26886,31033,37233,38355,40208,43381,45030,48645,56005,63135,69231,77612,86041,95480,107596,119873,130867,140750,152846,162285,171415,189046,203015,203834,205956,198182,214335,229992,245912,263171,270952,291240,309299,328106,372180,407210,438894,474668,512798,556206,605687,615980,637869,627256,632862,634297,644477,657535,700968,721277,749465,765583,778085,779251,767798,747300,730784
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,979,1094,1228,1301,1353,1518,1640,1764,1907,2078,2254,2340,2511,2618,2836,3142,3479,3867,4152,4771,5353,6371,6909,7751,7456,7629,8134,9212,10641,12270,13776,15057,17021,19026,21283,24122,26863,29401,31659,34592,36986,39315,43818,47154,47279,47864,46016,51446,56030,59607,63588,64305,70604,75774,80747,92697,100567,108915,117980,127639,140717,153933,155806,162028,159625,164062,167510,170545,175991,187598,193597,201609,205690
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","계",12550691,12936583,13320983,13708120,14081950,14452831,14829861,15205393,15576098,15940965,16308607,16648884,16955438,17234877,17514223,17765828,18058503,18349416,18637254,18929361,19235736,19535680,19837392,20129120,20375175,20575600,20771997,20959980,21155226,21357389,21568181,21783914,22013655,22242554,22472496,22705329,22924512,23148092,23295727,23457837,23666769,23854971,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25857689,25948706,25925697,25870941,25818686,25859888,25876776,25837903,25795052,25753184,25711849,25670259,25627273,25581979,25533877,25482355,25426558,25365537,25299055,25226848,25146147,25055270,24954651,24844377,24724984,24596640,24459520,24313819,24158908,23994470,23820596,23636945,23443302,23240251,23028412,22808799,22581760,22347707,22107905,21863691,21616063,21365813,21114313,20862429,20610866,20360655,20112015,19865280,19620983,19379441,19140643,18904218,18670107,18438434,18209029
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","0 - 4세",2383544,2452879,2500793,2516739,2487244,2441718,2419344,2402855,2378659,2363493,2362393,2412538,2447126,2458932,2455536,2373560,2277734,2189998,2122886,2081358,2087411,2109966,2129549,2136203,2084255,1995049,1908721,1806973,1741382,1722889,1687147,1711889,1760364,1812752,1859029,1893876,1895407,1872827,1829498,1766586,1716148,1658958,1573834,1488560,1409160,1315045,1227097,1192170,1191039,1174722,1172828,1193656,1200629,1188302,1179604,1175609,1148547,1102364,1045183,989933,911251,830797,766227,711053,663673,623974,594599,578964,575930,585299,604754,627677,647854,664942,678800,689554,697580,703448,705569,702614,695649,685538,672886,660260,649704,640572,632088,623423,613797,602581,589369,574030,556707,537794,517876,497671,477947,459439,442791,428505,416906,408125,402108,398637,397357,397815,399515,401955,404659,407213,409285,410634,411110
